날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2019-01-02,3947.06,3959.35,3850.45,3876.79,61865628,177699413676,25843491048067,,,,,,,
2019-01-03,3902.21,3935.05,3880.96,3927.42,90827233,260313676362,26177094898644,,,,,,,
2019-01-04,3938.59,4085.72,3919.93,4067.25,44765221,181951563253,27459263100742,,,,,,,
2019-01-07,4088.1,4094.47,4065.87,4075.06,56660275,171433867597,27511655893640,,,,,,,
2019-01-08,4104.31,4107.86,4061.27,4080.82,26573019,117316045236,27549583801812,,,,,,,
2019-01-09,4078.82,4160.46,4072.22,4091.81,18892802,93498325783,27625594101684,,,,,,,
2019-01-10,4075.51,4088.98,4032.73,4035.41,19011463,90180969983,27248101892622,,,,,,,
2019-01-11,4046.69,4078.57,4033.78,4065.37,21756984,98697281632,27448913398299,,,,,,,
2019-01-14,4054.31,4127.55,4054.31,4088.67,28878667,112985412115,27604438704476,,,,,,,
2019-01-15,4100.28,4109.65,4052.29,4052.29,13643346,70642286614,27363611059124,,,,,,,
2019-01-16,4059.17,4067.54,4024.11,4031.65,18924970,78501345322,27223407587147,,,,,,,
2019-01-17,4041.68,4050.43,4021.92,4031.16,10658167,64932804141,27219208787489,,,,,,,
2019-01-18,4037.0,4063.37,4030.57,4061.01,11319826,61283162225,27421888801301,,,,,,,
2019-01-21,4062.45,4067.41,4020.95,4042.32,10467056,61956736338,27298188180291,,,,,,,
2019-01-22,4035.75,4056.28,4031.24,4047.7,18441044,71363796770,27333491698493,,63.04917113740566,,,,,
2019-01-23,4056.69,4089.08,4051.67,4084.16,22018594,86524739182,27578704757050,,68.2094300095112,,,,,
2019-01-24,4058.39,4058.39,4005.25,4023.75,13090298,112263562447,27173363143267,,54.603088492255544,,,,,
2019-01-25,4014.23,4036.36,3999.88,4012.54,15851622,86032988563,27100693068216,,52.50984780892108,,,,,
2019-01-28,4013.92,4013.92,3978.28,3993.0,8935452,76378838663,26968809762881,,48.98478548843219,,,,,
2019-01-29,4000.47,4005.14,3981.45,4000.38,18042402,73479970557,27016409776172,4034.428,50.34073285431613,3928.977941564739,4034.428,4139.878058435261,5.227509745384519,0.3385586480215043
2019-01-30,4001.35,4003.5,3942.11,3980.88,36976749,138596532651,26886496637858,4039.6325000000006,46.80107051876136,3958.3004805058313,4039.6325000000006,4120.96451949417,4.026703889235942,0.13881076379633908
2019-01-31,4009.73,4049.08,3976.28,4047.11,44648340,172280972597,27334046424300,4045.6169999999997,57.684118030640846,3982.6527720288736,4045.6169999999997,4108.581227971125,3.112713238604933,0.5118559382693081
2019-02-01,4052.53,4056.35,4019.32,4024.79,18266802,87055020811,27182851273009,4043.4939999999997,53.69731891929266,3980.7276002625613,4043.4939999999997,4106.260399737438,3.104562526242819,0.35100308382955325
2019-02-07,4029.46,4040.11,4000.64,4027.29,10040209,64375144695,27200625120596,4041.1055,54.08014289194469,3979.7049083171837,4041.1055,4102.506091682817,3.038801718134636,0.38749701247694374
2019-02-08,4040.26,4058.22,4015.54,4051.6,13033504,92321841883,27362849118090,4039.6445,57.73913135283309,3980.7541512236517,4039.6445,4098.534848776349,2.91562036096733,0.6015064458643635
2019-02-11,4069.03,4076.81,4043.53,4049.42,17875802,79940742577,27348333798990,4037.525,57.29821337151235,3983.4420243052405,4037.525,4091.6079756947597,2.6790162634168024,0.6099699105605292
2019-02-12,4059.02,4064.87,4010.83,4010.83,14756863,76404535654,27089132176046,4036.296,50.01693539743876,3980.973703807597,4036.296,4091.618296192403,2.741240790685469,0.26983963290828694
2019-02-13,4017.65,4041.9,4012.2,4030.4,24728738,95063955274,27219152445074,4034.5475000000006,53.26070094206783,3980.8239435745368,4034.5475000000006,4088.2710564254644,2.6631763004631277,0.46139961428507864
2019-02-14,4016.73,4099.64,3998.95,4099.64,125838190,114893289877,27683324848803,4035.096,62.526822840384774,3979.0016614621404,4035.096,4091.1903385378596,2.7803223783453768,1.0753165264301836
2019-02-15,4066.79,4080.92,4045.35,4065.43,22363244,83224871769,27456637661878,4035.7529999999997,56.560462682104166,3978.571256374958,4035.7529999999997,4092.9347436250414,2.833758340762762,0.759497158696326
2019-02-18,4073.1,4082.82,4052.39,4068.94,13637022,61093985591,27481747100875,4037.6175000000003,57.01368578414119,3978.6874157051348,4037.6175000000003,4096.547584294866,2.9190523517824936,0.7657598438453997
2019-02-19,4072.82,4076.89,4045.51,4052.87,20706297,76850756111,27375085005860,4038.703,54.22426540824536,3979.4895768258584,4038.703,4097.9164231741415,2.9322989669773465,0.6196265917470773
2019-02-20,4055.01,4077.31,4039.33,4072.72,12168044,71521527540,27509417251339,4039.2884999999997,57.02141855955315,3978.982869657552,4039.2884999999997,4099.594130342448,2.9859531124081884,0.7771839031460062
2019-02-21,4059.32,4078.79,4054.04,4055.34,54948310,124559625750,27394268470175,4039.9395000000004,53.914969532048794,3979.237226739438,4039.9395000000004,4100.641773260562,3.005108034937758,0.6268527451508604
2019-02-22,4067.17,4079.37,4058.1,4063.61,42865168,127243320653,27450143057996,4040.7350000000006,55.166578087088816,3979.235015121954,4040.7350000000006,4102.234984878047,3.0439999098206862,0.6859756554847986
2019-02-25,4083.51,4092.49,4060.32,4079.04,43750499,128178637641,27552872495641,4040.4790000000003,57.48653666047319,3979.6653956338723,4040.4790000000003,4101.292604366128,3.0102175690618833,0.817042546663107
2019-02-26,4076.49,4084.08,4050.76,4058.08,24743299,91596319344,27412955923051,4042.1955000000003,53.44111419374017,3981.429587359771,4042.1955000000003,4102.961412640229,3.00657959963733,0.6307023897924935
2019-02-27,4068.19,4069.72,4025.03,4060.83,33144192,129894411204,27432395306825,4044.6100000000006,53.899498234186765,3984.921340440584,4044.6100000000006,4104.2986595594175,2.9515161936214707,0.6358717059465293
2019-02-28,4065.25,4074.33,4014.01,4014.01,28562232,117391657658,27119888736940,4045.6605000000004,45.65766205657242,3988.978267695689,4045.6605000000004,4102.3427323043115,2.8021250079838063,0.22080757308500912
2019-03-04,4027.1,4072.27,4025.37,4050.95,20272284,97072340174,27366806624393,4048.189,51.906201303537664,3995.4364338444097,4048.189,4100.94156615559,2.606230398609864,0.5261693430406432
2019-03-05,4038.8,4059.87,4029.08,4059.87,23057378,92482956811,27425015042934,4052.1385,53.30252537347183,4009.2243078137326,4052.1385,4095.0526921862674,2.118100957618671,0.5900809220227377
2019-03-06,4053.88,4071.85,4040.38,4054.46,13462679,90961961033,27391523446261,4052.506,52.31054409781846,4009.644497739814,4052.506,4095.3675022601856,2.11530851577694,0.522794348039164
2019-03-07,4065.7,4065.87,4007.62,4030.59,10918786,84579583838,27231884526038,4052.796,48.06058653969725,4010.615449316066,4052.796,4094.9765506839335,2.081553114636596,0.23677441806778254
2019-03-08,4013.49,4023.96,3981.09,3987.25,11017025,72997804313,26943210374815,4050.7939999999994,41.472271604480305,4000.8709466478667,4050.7939999999994,4100.717053352132,2.4648527351493406,-0.13641940679981318
2019-03-11,3998.11,4071.27,3998.11,4071.27,10457019,112724143553,27511299128130,4051.7775,54.49548665732823,4001.060978480875,4051.7775,4102.494021519125,2.503420857592763,0.692171105353205
2019-03-12,4083.32,4089.99,4062.03,4076.45,8615599,72538101455,27548771308488,4053.129,55.15796791292382,4001.307245533368,4053.129,4104.950754466632,2.5571233714314054,0.7250116793615706
2019-03-13,4074.37,4102.21,4061.29,4090.2,7937349,70431435585,27643528653615,4057.0975,56.949620205657986,4006.7039587967874,4057.0975,4107.491041203212,2.4842164233525277,0.8284399072741667
2019-03-14,4103.19,4115.91,4074.31,4109.9,19526545,96387487854,27777000104793,4061.0724999999998,59.449466076130186,4007.3009834229138,4061.0724999999998,4114.844016577085,2.6481436407296735,0.9540275512780262
2019-03-15,4091.36,4127.12,4081.24,4117.75,11552361,130543323185,27828940937862,4061.978,60.43536307420008,4005.117876327959,4061.978,4118.838123672042,2.799627357511107,0.9904315748738286
2019-03-18,4129.39,4147.73,4119.27,4142.02,7302768,78138961737,27994326032643,4065.8075000000003,63.39829129618042,3999.0738917130225,4065.8075000000003,4132.541108286979,3.2826742676321046,1.0710203745634372
2019-03-19,4154.9,4154.9,4120.96,4125.89,61692094,182714679445,27886118908289,4068.655,60.17302861649289,3996.9545097645787,4068.655,4140.355490235422,3.524530353909167,0.8991255834658496
2019-03-20,4125.5,4131.83,4073.81,4102.95,23637301,86855116982,27733581932276,4071.1590000000006,55.823442974096125,3998.3491353112113,4071.1590000000006,4143.96886468879,3.576861757980431,0.7183151976444628
2019-03-21,4084.48,4101.05,4021.69,4030.91,17218456,95444839336,27251302158502,4069.0685000000003,44.85749853466745,3994.186561650357,4069.0685000000003,4143.950438349644,3.6805444956084483,0.24520891926015237
2019-03-22,4026.73,4039.61,4008.37,4017.09,22393775,91688754538,27156342277567,4067.156,43.10802812085315,3989.0833888229695,4067.156,4145.228611177031,3.839174655559349,0.17936258794729754
2019-03-25,4001.58,4010.48,3974.84,3978.3,11095556,58500934443,26894779449458,4062.8905000000004,38.562043044385476,3975.7175823076354,4062.8905000000004,4150.063417692365,4.291177312918709,0.014812041174749676
2019-03-26,3986.89,4049.83,3983.77,4034.68,9065991,71038791937,27273939123060,4060.6724999999997,47.266581518389565,3973.0001287819255,4060.6724999999997,4148.344871218074,4.318120765369502,0.3517634481714492
2019-03-27,4053.81,4064.99,4038.2,4061.99,8331363,62239215482,27454880227864,4060.868,50.895767488975395,3973.202187142308,4060.868,4148.533812857691,4.317589877715388,0.5063993018682289
2019-03-28,4047.35,4047.58,4007.75,4010.91,7530559,57342652093,27109626100719,4058.3720000000003,44.6993787419019,3968.041856946865,4058.3720000000003,4148.702143053135,4.451545745591328,0.23728592474340673
2019-03-29,4035.7,4062.67,4034.7,4050.36,12236287,97958795410,27373930836233,4060.1895000000004,49.78422642933147,3972.067070738207,4060.1895000000004,4148.311929261794,4.340803761095067,0.44422816028596496
2019-04-01,4059.81,4093.67,4045.21,4051.3,14875089,85889148992,27382920759195,4060.207,49.90242987308697,3972.091778363782,4060.207,4148.322221636218,4.340430014342528,0.44945822166360605
2019-04-02,4054.38,4058.31,4011.07,4026.21,12539779,80563410142,27215978858290,4058.524,46.73989586941631,3969.1702154354957,4058.524,4147.8777845645045,4.40326505717371,0.3191794552547876
2019-04-03,4012.11,4015.74,3992.84,4015.74,37471522,128346266414,27145232648504,4056.5880000000006,45.44559278206294,3965.308772658837,4056.5880000000006,4147.867227341165,4.500295684016417,0.27624701046532646
2019-04-04,4009.91,4020.81,3994.76,4010.75,21644703,75733919115,27112300602300,4055.5960000000005,44.80872485371298,3962.789716074827,4055.5960000000005,4148.402283925174,4.576702606727759,0.258389205432693
