날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2019-01-02,1310.21,1312.49,1254.96,1260.23,4741970,375564908280,105251672040060
2019-01-03,1260.73,1260.73,1226.76,1228.56,6049757,392738430180,102777968660610
2019-01-04,1228.1,1234.21,1215.09,1231.75,5436941,348956377600,103410452447960
2019-01-07,1255.99,1289.39,1255.99,1272.26,5603414,455321247230,106856779214840
2019-01-08,1283.07,1284.93,1271.37,1275.44,3939129,280721685384,106939922187940
2019-01-09,1275.54,1300.53,1275.54,1294.66,5249623,324774276470,108513688246680
2019-01-10,1298.5,1302.03,1287.79,1293.11,4381348,308989237700,108379526679980
2019-01-11,1294.14,1305.22,1286.8,1301.4,5663951,298335842480,109128524058670
2019-01-14,1300.93,1308.15,1283.47,1293.95,5355989,260128308530,108521349908420
2019-01-15,1294.37,1311.55,1289.65,1309.87,4671512,278457460680,109807122838270
2019-01-16,1311.75,1325.04,1310.84,1323.08,5287572,365262043522,110961968869280
2019-01-17,1330.61,1337.94,1322.79,1327.94,4725440,341954889100,111448510592690
2019-01-18,1339.12,1345.2,1333.86,1341.38,4809234,323295197840,112471238792690
2019-01-21,1353.03,1357.8,1343.46,1345.33,4292029,339713495600,112854290429800
2019-01-22,1348.35,1352.27,1335.11,1338.49,4088189,267932832250,112307185532400
2019-01-23,1336.36,1344.7,1326.65,1341.37,4316411,377887076010,112486812259300
2019-01-24,1329.71,1343.73,1327.36,1334.58,5208648,305817621280,111967714771700
2019-01-25,1330.34,1365.21,1326.47,1362.79,6080077,376117345270,114288428005090
2019-01-28,1368.09,1369.36,1354.28,1359.89,5032736,361602027830,114039021553770
2019-01-29,1352.98,1371.23,1350.97,1370.7,4488819,327004965080,114973182271820
2019-01-30,1373.03,1386.14,1359.89,1385.02,5075227,400033811524,116168154427040
2019-01-31,1402.15,1402.59,1371.8,1378.81,4999246,444726218970,115608989754740
2019-02-01,1378.49,1389.87,1367.2,1368.87,4569075,327823859310,114803153352040
2019-02-07,1373.44,1385.73,1365.62,1379.19,4028489,297416467600,115738676008420
2019-02-08,1373.87,1378.07,1354.88,1359.1,4463546,337547302828,113992603218880
2019-02-11,1365.75,1369.16,1354.3,1362.13,3533878,293642147363,114271528749620
2019-02-12,1362.3,1366.0,1349.96,1365.38,4559040,364058626060,114632669926840
2019-02-13,1367.06,1382.14,1365.34,1381.56,5299245,390943207530,116058878021960
2019-02-14,1374.61,1392.83,1363.47,1392.83,4612327,348063832540,117118644072140
2019-02-15,1392.02,1398.04,1380.68,1386.44,4100690,321634223920,116615686345560
2019-02-18,1398.35,1424.21,1398.06,1417.46,5673420,569399672604,119220608720240
2019-02-19,1415.4,1423.81,1408.18,1415.02,5229649,453105249780,118957699630690
2019-02-20,1420.05,1437.91,1416.97,1433.13,8352389,580915818180,120227473923960
2019-02-21,1425.74,1429.2,1412.39,1416.11,4597999,377505396170,118806672846170
2019-02-22,1413.99,1414.27,1394.41,1405.72,3718011,355645130330,118057348296750
2019-02-25,1419.0,1422.41,1403.37,1410.44,4667726,357974582250,118307272884850
2019-02-26,1404.89,1409.45,1395.85,1404.69,3960794,323957002814,117866072710110
