날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2019-01-02,1674.04,1675.39,1618.88,1627.53,4201198,36574107690,8179762533325,,,,,,,
2019-01-03,1641.52,1645.72,1608.32,1611.14,5398584,56938631360,8097952994965,,,,,,,
2019-01-04,1608.41,1614.18,1586.63,1594.08,3602210,28740144335,8012195145620,,,,,,,
2019-01-07,1609.94,1631.91,1605.78,1614.72,5385214,38294441170,8115796699400,,,,,,,
2019-01-08,1625.41,1679.93,1617.75,1652.66,7462192,83819422620,8306315895415,,,,,,,
2019-01-09,1660.33,1673.46,1653.69,1660.55,5372220,41960175040,8345943768490,,,,,,,
2019-01-10,1668.15,1675.76,1647.39,1647.39,4870942,37904218565,8279689352455,,,,,,,
2019-01-11,1650.99,1684.28,1640.94,1682.54,17550077,129914261270,8456522267870,,,,,,,
2019-01-14,1694.6,1716.5,1690.55,1716.5,34004687,213673311345,8626723563350,,,,,,,
2019-01-15,1718.0,1728.28,1706.34,1723.81,29857473,247950474475,8663992027485,,,,,,,
2019-01-16,1736.28,1762.85,1725.96,1759.71,19030085,169510336370,8843500695350,,,,,,,
2019-01-17,1769.94,1777.24,1709.04,1712.6,12097411,107067500550,8607375929945,,,,,,,
2019-01-18,1721.5,1738.68,1707.64,1734.72,8132220,74999142195,8717975730995,,,,,,,
2019-01-21,1746.85,1749.44,1728.79,1733.46,7982139,71914489805,8711537084910,,,,,,,
2019-01-22,1733.76,1746.99,1730.71,1737.59,10633443,87340503540,8731603411655,,68.44432533648933,,,,,
2019-01-23,1730.15,1768.78,1726.98,1762.33,25371914,187742257985,8855970628680,,72.35528099347951,,,,,
2019-01-24,1776.07,1807.63,1770.41,1782.53,11903401,92309108750,8957252849555,,75.07191253819502,,,,,
2019-01-25,1786.33,1791.92,1775.47,1785.31,16131078,144483431150,8971100515660,,75.42976660013998,,,,,
2019-01-28,1785.79,1788.04,1768.13,1780.33,10473230,99467792625,8945994857990,,73.39710468468493,,,,,
2019-01-29,1775.13,1775.13,1734.08,1749.99,16223764,145910971250,8793425526020,1703.4744999999998,62.36983710183543,1582.2346325512108,1703.4744999999998,1824.7143674487888,14.234421172584508,0.6918325257970447
2019-01-30,1764.15,1869.33,1764.15,1827.88,24131952,293817440160,9188095545355,1713.4920000000002,73.4132812072071,1586.0575599769045,1713.4920000000002,1840.926440023096,14.87423810827196,0.9488111690186292
2019-01-31,1847.18,1847.6,1795.61,1817.81,9111573,93098637740,9135825855565,1723.8255000000001,70.53135334187554,1597.7553835607744,1723.8255000000001,1849.895616439226,14.626784026483628,0.8727469389833815
2019-02-01,1833.19,1874.93,1823.34,1867.49,13025191,155259240355,9386548456170,1737.4959999999999,75.61686654889272,1611.3720025371856,1737.4959999999999,1863.6199974628141,14.51790363405893,1.015342054704248
2019-02-07,1917.32,1921.65,1888.1,1897.93,12145788,132962633580,9544053146490,1751.6564999999998,78.1096010053875,1620.362143186769,1751.6564999999998,1882.9508568132308,14.990879411943032,1.0570441241738877
2019-02-08,1877.52,1905.97,1872.11,1889.35,11273987,113580755315,9500059882790,1763.491,75.75863701549572,1627.4401817150665,1763.491,1899.5418182849335,15.429715069136558,0.9625440757600272
2019-02-11,1902.06,1913.05,1870.32,1873.88,6467117,68631772475,9421250290765,1774.1575,71.57557673583736,1638.612287487717,1774.1575,1909.7027125122831,15.279952598603348,0.8678569613477246
2019-02-12,1877.46,1882.81,1855.07,1857.82,7931227,72487791445,9339450593100,1784.679,67.41405351352978,1657.7318466014303,1784.679,1911.6261533985698,14.226329037162397,0.7880765658855013
2019-02-13,1864.45,1894.63,1864.45,1893.49,13382552,130501213635,9518465156515,1795.2265,71.3924686665359,1668.9249861096273,1795.2265,1921.5280138903727,14.070816567198925,0.8890036507610307
2019-02-14,1892.58,1893.05,1856.55,1885.85,7271249,73140136685,9479414583280,1803.694,69.43702285708123,1676.9334794267554,1803.694,1930.4545205732445,14.055656954366377,0.8240598872127884
2019-02-15,1887.39,1893.59,1865.88,1887.24,7960579,78753995335,9487588967155,1811.8655000000003,69.60016670915863,1685.687720422929,1811.8655000000003,1938.0432795770716,13.927941072565407,0.7986837312110084
2019-02-18,1895.04,1902.6,1886.43,1897.05,4482235,46951211785,9537611993340,1818.7325,70.7854263565288,1689.738508376359,1818.7325,1947.726491623641,14.185042783767377,0.8035703408128602
2019-02-19,1901.25,1913.2,1892.37,1893.17,5274184,56521432515,9517258989425,1827.7609999999997,69.62909985483631,1704.5994743680073,1827.7609999999997,1950.9225256319921,13.476764810277976,0.765541530377932
2019-02-20,1907.72,1909.91,1889.77,1891.24,4616791,49016178760,9507468667120,1835.5870000000002,69.02507641821524,1717.272303347387,1835.5870000000002,1953.9016966526135,12.891211002541779,0.7351905620119364
2019-02-21,1890.76,1892.61,1851.4,1856.28,5749980,59867971040,9331129629160,1841.7279999999998,59.03494954201968,1732.8832704812955,1841.7279999999998,1950.5727295187041,11.819848481285435,0.5668475178556968
2019-02-22,1855.85,1881.66,1855.85,1874.57,7027427,55306208470,9423173566645,1848.577,62.12354085190646,1750.05636904384,1848.577,1947.09763095616,10.6590778697517,0.6319165323431921
2019-02-25,1885.2,1885.49,1830.79,1854.28,6152098,53417130620,9321090609880,1853.1744999999999,56.99019940534408,1762.9494339761955,1853.1744999999999,1943.3995660238043,9.737352421350973,0.5061263463066265
2019-02-26,1859.73,1880.86,1853.41,1865.23,9346725,71098498900,9376602493845,1857.3095,58.96106404997512,1773.0295641967507,1857.3095,1941.5894358032494,9.075486428433104,0.546989238449886
2019-02-27,1875.79,1878.17,1856.2,1869.26,5360538,42853942565,9396636904335,1861.507,59.693119813887144,1783.8899345826587,1861.507,1939.1240654173414,8.339164496006873,0.5499439134828958
2019-02-28,1869.27,1869.93,1743.8,1747.23,10884947,100136484890,8781842437940,1859.852,37.7400009853135,1774.3689126434952,1859.852,1945.335087356505,9.192461266434634,-0.1587384913363799
2019-03-04,1708.06,1754.88,1701.17,1729.25,7982943,78904527360,8690848033660,1858.815,35.65910601173941,1767.7079123503565,1858.815,1949.9220876496436,9.802706310164648,-0.21105883934216074
2019-03-05,1719.31,1741.24,1709.28,1736.01,5133063,45460366560,8725479811370,1854.2215,37.0641440724317,1749.1457215779496,1854.2215,1959.2972784220506,11.333681377553917,-0.06250594463925038
2019-03-06,1731.76,1753.94,1727.73,1733.25,8840583,50289259945,8711176314480,1849.9935,36.71164987665179,1733.241298431893,1849.9935,1966.745701568107,12.621903976214728,3.7265113591436235e-05
2019-03-07,1725.25,1728.61,1684.64,1695.95,6297792,41805232685,8523829200410,1841.4165,32.24804431585664,1707.1724262723305,1841.4165,1975.6605737276695,14.580522519231199,-0.04179859103164791
2019-03-08,1687.62,1704.56,1676.43,1685.87,3362210,26518040660,8472998799855,1830.8135000000002,31.145947278410212,1683.2602401546142,1830.8135000000002,1978.3667598453862,16.1188739153809,0.008843450317940675
2019-03-11,1679.27,1689.79,1651.74,1677.57,2783012,22599183445,8431139165110,1820.2245000000003,30.22982318766446,1661.0551986287871,1820.2245000000003,1979.3938013712134,17.48897472495432,0.05187809844279311
2019-03-12,1684.3,1707.58,1678.86,1705.21,4464795,31520707895,8569897375840,1811.791,36.88736221599028,1647.1087140187806,1811.791,1976.4732859812193,18.178949556678376,0.17640417618396864
2019-03-13,1706.71,1710.32,1688.24,1709.52,3965014,29560157115,8591231975825,1804.3759999999997,37.88272231380543,1635.3539182000166,1804.3759999999997,1973.398081799983,18.734685209732696,0.21939761068541874
2019-03-14,1708.5,1730.69,1702.79,1721.63,5286178,38888323920,8652100474335,1795.7830000000001,40.71204151765669,1628.2890459479202,1795.7830000000001,1963.27695405208,18.65414184810525,0.27863977114975996
2019-03-15,1720.59,1742.89,1691.0,1699.77,7250373,56693172655,8541694014615,1786.479,37.400447919889956,1619.3585245459121,1786.479,1953.599475454088,18.709481102670438,0.24057936418502726
2019-03-18,1712.11,1723.72,1704.77,1716.78,3473185,29572990440,8627422957125,1777.9559999999997,41.395168564929214,1614.9231152926484,1777.9559999999997,1940.988884707351,18.33936100863591,0.3123814097081936
2019-03-19,1718.53,1723.59,1704.8,1709.32,3218762,24193519090,8590394720440,1768.5695,40.1840461295343,1612.5797570711761,1768.5695,1924.559242928824,17.64021633629031,0.31008526943007114
2019-03-20,1707.7,1708.3,1673.52,1693.57,2629918,25350587720,8511064431255,1758.5895,37.67765592982285,1610.4195759971828,1758.5895,1906.7594240028172,16.850996096908027,0.2805914377105172
2019-03-21,1684.22,1703.69,1668.34,1669.62,3631949,32194253055,8395847060290,1747.5085,34.18584308742688,1607.7692589436642,1747.5085,1887.2477410563356,15.992968395442505,0.22130770350828163
2019-03-22,1668.3,1670.06,1645.89,1658.75,3847215,30147910075,8340232474200,1737.632,32.70440977093509,1602.1837039457464,1737.632,1873.0802960542537,15.58998637850289,0.20881139778826022
2019-03-25,1642.9,1660.88,1635.21,1643.16,3576733,26258340035,8261769278085,1726.0614999999998,30.652744831377994,1600.1832905632557,1726.0614999999998,1851.939709436744,14.585599578780261,0.1707075022319129
2019-03-26,1655.47,1662.34,1641.47,1653.59,2197133,17235157875,8314201480595,1716.027,33.651586525337684,1601.1140513649532,1716.027,1830.939948635047,13.392906828977265,0.22832913635218605
2019-03-27,1658.36,1669.55,1651.54,1663.81,3666862,24244616545,8365162698220,1705.9560000000001,36.54710905652868,1611.6569990720955,1705.9560000000001,1800.2550009279048,11.055267653785286,0.2765299760056712
2019-03-28,1656.34,1708.03,1656.28,1690.08,4805898,35262418105,8496671770125,1696.9969999999998,43.38639943343444,1639.6557666334163,1696.9969999999998,1754.3382333665834,6.7579652016572265,0.4396856363746188
2019-03-29,1690.6,1736.29,1666.37,1730.43,5735601,53322810255,8699715296775,1696.157,51.95275789329419,1641.3475401960482,1696.157,1750.9664598039517,6.462781429307755,0.8126558820556835
