날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2019-01-02,2094.51,2104.52,2035.16,2041.59,3319798,382732218300,78074895832470
2019-01-03,2051.16,2065.26,1990.57,1993.84,3861784,363505605200,76846219036940
2019-01-04,1999.22,2067.99,1986.9,2064.46,3596994,396600043080,79304193784510
2019-01-07,2100.26,2144.23,2070.62,2073.47,3540998,504264623520,79401584182060
2019-01-08,2089.54,2090.11,2054.79,2070.33,2201926,276337328590,79032415783320
2019-01-09,2080.99,2096.94,2065.13,2079.62,3262504,326444553210,79338274707220
2019-01-10,2080.29,2095.67,2070.97,2080.38,2820477,306941450650,79638922524450
2019-01-11,2086.08,2089.2,2067.03,2070.3,2161253,219093561210,79718600564910
2019-01-14,2069.97,2072.27,2055.51,2061.24,2391373,288463192430,79359738115670
2019-01-15,2072.44,2101.3,2059.47,2062.22,3346474,390412412300,79039982464790
2019-01-16,2069.45,2071.04,2037.56,2041.19,3175238,402195026662,77841289947280
2019-01-17,2040.98,2053.65,2006.82,2006.82,3462564,451567868590,76008203077170
2019-01-18,2020.04,2051.91,2014.7,2050.64,2630306,365217174550,78064031449840
2019-01-21,2066.61,2068.35,2021.95,2021.95,2424780,282717230440,77107420431510
2019-01-22,2031.0,2045.03,2023.83,2039.42,2010054,248168063580,78062829728620
2019-01-23,2025.65,2032.37,2015.75,2028.24,1776772,211020570150,77784651955560
2019-01-24,2020.43,2045.51,2016.11,2040.71,2832487,301567195640,78887758186390
2019-01-25,2035.73,2052.42,2025.93,2046.08,2448224,248034323660,79114941921170
2019-01-28,2054.83,2069.79,2047.11,2052.2,3088813,310845215956,79466571517010
2019-01-29,2048.79,2055.66,2020.71,2030.68,2261858,255539836560,78494320707780
2019-01-30,2037.47,2048.75,2029.89,2046.25,2757209,277621083080,79014033660340
2019-01-31,2065.35,2088.46,2062.02,2083.24,9971953,403880425100,80680876688310
2019-02-01,2087.07,2095.74,2060.54,2062.4,4311285,347300320970,79404473630420
2019-02-07,2076.69,2077.14,2038.02,2055.16,3488433,337381484190,78781836292060
2019-02-08,2059.97,2092.52,2058.77,2083.02,4451841,279308153700,79430197382910
2019-02-11,2104.39,2131.89,2101.78,2120.89,4619150,270587327640,80288241047870
2019-02-12,2123.53,2124.76,2090.71,2094.07,2986691,237277348430,79397038150220
2019-02-13,2103.6,2117.24,2086.14,2115.66,2874406,232563916820,79906080064910
2019-02-14,2108.25,2116.56,2085.73,2116.56,2754673,273233885480,79881022769400
2019-02-15,2107.26,2118.68,2091.29,2099.04,2019859,193456168770,79366885476760
2019-02-18,2099.31,2121.96,2097.75,2113.35,2124618,155879971150,79828223412900
2019-02-19,2123.94,2157.71,2108.5,2146.28,2422462,253498284780,81064816889530
2019-02-20,2148.89,2152.65,2136.19,2141.84,3214742,230926855650,81060242534550
2019-02-21,2140.9,2143.71,2115.7,2120.58,2913525,271296037320,79787117870040
2019-02-22,2115.87,2121.54,2105.14,2112.65,2480526,171274441580,79345879798540
2019-02-25,2107.21,2111.09,2092.68,2094.28,3041161,303103858730,78407835116750
2019-02-26,2099.37,2121.96,2088.31,2092.54,2243628,231417130890,78378875292510
2019-02-27,2102.49,2114.61,2093.17,2113.1,1916149,167267856540,78758146645380
