날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2019-01-02,2154.2,2154.2,2098.57,2109.5,2155489,5363486038,1276203516290,,,,,,,
2019-01-03,2113.08,2125.94,2082.58,2084.73,1783791,4836515749,1261215323550,,,,,,,
2019-01-04,2075.85,2093.18,2052.03,2083.65,1972620,4494733427,1260565091085,,,,,,,
2019-01-07,2101.64,2177.63,2101.45,2173.7,2910447,11701212375,1315042408670,,,,,,,
2019-01-08,2222.77,2260.2,2202.82,2248.77,2183564,13601370267,1360458241655,,,,,,,
2019-01-09,2261.98,2297.32,2251.11,2282.45,3081134,11424825254,1380835173675,,,,,,,
2019-01-10,2305.14,2344.04,2257.59,2292.74,2058036,10378617967,1387059000865,,,,,,,
2019-01-11,2294.16,2360.31,2294.16,2354.06,2577926,12415688339,1424157182880,,,,,,,
2019-01-14,2385.62,2385.62,2317.43,2332.17,2394223,8295764399,1410912955560,,,,,,,
2019-01-15,2326.32,2408.58,2326.32,2382.69,1929971,6555156760,1441479207490,,,,,,,
2019-01-16,2382.9,2415.44,2382.24,2411.56,1959905,5657557867,1458941970310,,,,,,,
2019-01-17,2432.44,2436.56,2358.31,2378.43,3246084,6684695535,1438897645860,,,,,,,
2019-01-18,2396.4,2444.85,2396.4,2442.42,2950504,9821618942,1477613254700,,,,,,,
2019-01-21,2454.21,2484.59,2439.41,2447.69,7986081,10228132431,1480803411510,,,,,,,
2019-01-22,2465.13,2466.25,2408.87,2422.53,2523072,5254190273,1465581677050,,76.88558497837369,,,,,
2019-01-23,2422.77,2463.73,2406.49,2448.76,1865208,6184157267,1481447071300,,78.72286693954176,,,,,
2019-01-24,2441.47,2455.55,2412.55,2441.9,1828759,6752521782,1477295495870,,76.9990591793696,,,,,
2019-01-25,2456.17,2496.76,2446.71,2496.76,2838533,8906524235,1510487990915,,80.64844774884062,,,,,
2019-01-28,2531.71,2534.32,2489.42,2514.12,3951122,9870318008,1520987260380,,81.64110570780998,,,,,
2019-01-29,2506.71,2530.61,2474.96,2522.46,3354960,5763247690,1526034151890,2343.5544999999997,82.11573648416638,2070.3320409323014,2343.5544999999997,2616.776959067698,23.316928116474212,0.8273989638525133
2019-01-30,2517.08,2554.47,2510.61,2548.43,2745604,6576254284,1541746522985,2365.5009999999997,83.5425357497607,2100.6191225602624,2365.5009999999997,2630.382877439737,22.39541453922339,0.8453029738541057
