날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2019-01-02,16326.7,16329.14,15971.91,16051.95,2209119,58417927815,49921597881530,,,,,,,
2019-01-03,16063.14,16136.44,15980.85,16089.82,3007536,65999023000,50036441122095,,,,,,,
2019-01-04,16045.66,16235.16,15983.5,16189.76,3102700,79541668205,50340494329965,,,,,,,
2019-01-07,16302.27,16361.4,16148.52,16213.06,2851337,75232081065,50413924944365,,,,,,,
2019-01-08,16295.58,16307.84,16034.95,16127.96,2706569,67712081065,50145931824370,,,,,,,
2019-01-09,16112.91,16214.8,16064.56,16138.24,3788815,95620616390,50179215767965,,,,,,,
2019-01-10,16083.75,16161.47,16012.92,16096.5,3495184,89189935515,50052527655730,,,,,,,
2019-01-11,16116.57,16181.82,16083.77,16181.82,2605345,70868671237,50313320064025,,,,,,,
2019-01-14,16134.42,16202.75,15974.54,16087.98,2313485,64534350235,50026232090400,,,,,,,
2019-01-15,16121.37,16324.95,16082.66,16299.11,3055126,70984370615,50685197152150,,,,,,,
2019-01-16,16294.42,16355.57,16191.57,16341.82,3072058,63979698352,50813361582825,,,,,,,
2019-01-17,16358.38,16608.88,16358.12,16545.93,4314341,90649641160,51442708374965,,,,,,,
2019-01-18,16600.74,16611.22,16443.11,16548.87,3238432,75323431803,51448391025660,,,,,,,
2019-01-21,16506.94,16551.75,16440.34,16515.53,2633135,50936943070,51345919149975,,,,,,,
2019-01-22,16498.27,16704.4,16498.27,16682.46,3234703,115481135340,51860735530125,,80.33832398149733,,,,,
2019-01-23,16696.27,16865.65,16696.27,16835.65,3233381,103590756140,52330205659595,,83.74549218600444,,,,,
2019-01-24,16745.25,17005.7,16728.61,16992.38,3660530,86950443815,52817052938005,,86.35144281320052,,,,,
2019-01-25,16923.95,17158.01,16874.71,17067.26,3010692,95860212780,53048938402435,,87.39149324928849,,,,,
2019-01-28,17045.9,17095.65,16946.6,17043.8,2812734,71931392426,52976835371475,,85.20091500117574,,,,,
2019-01-29,17040.07,17045.04,16896.9,17039.23,3350134,77753747026,52961260417955,16454.4565,84.75522900532722,15736.686389664523,16454.4565,17172.226610335478,8.724324748562525,0.9073543127385751
2019-01-30,17016.11,17084.08,16857.38,17084.08,3432653,88240673955,53099593880635,16506.063000000002,85.55389714959843,15763.483804382453,16506.063000000002,17248.64219561755,8.99765371812223,0.8891955251448334
2019-01-31,17054.9,17074.42,16681.42,16780.72,5880254,174625618595,52169815813545,16540.608,61.923087119436595,15814.601057757705,16540.608,17266.614942242297,8.77847951226818,0.665364809913805
2019-02-01,16795.63,17095.45,16795.63,17052.15,3727116,124795817725,53020452797855,16583.7275,69.92696255413037,15843.886236758346,16583.7275,17323.568763241656,8.922496624979575,0.8165695962587852
2019-02-07,16952.41,17012.1,16844.41,16973.57,2901966,74363520840,52777216447675,16621.753,65.62611408863586,15883.851993059361,16621.753,17359.65400694064,8.878738685873138,0.7383903780390837
2019-02-08,17002.7,17108.14,16951.88,17108.14,4328436,76469956790,53194235864510,16670.762,69.12795047197375,15940.39324032855,16670.762,17401.130759671447,8.762272050569111,0.7994227191458411
2019-02-11,17070.84,17132.53,16968.44,17001.6,3924372,69945297475,52864950271815,16713.93,63.60340316870261,16013.102317498793,16713.93,17414.757682501207,8.386150743735401,0.705235899767346
2019-02-12,17146.49,17218.18,17033.15,17194.83,3706139,93948524520,53459151720715,16768.8465,68.5176474244279,16098.693417718785,16768.8465,17438.999582281216,7.992834596955916,0.8178255172310364
2019-02-13,17168.27,17419.31,17142.85,17388.35,3678424,87606144445,54056033055110,16829.173000000003,72.51946372716381,16164.052783615012,16829.173000000003,17494.29321638499,7.904371966287223,0.9203578437588269
2019-02-14,17264.06,17637.57,17224.44,17637.57,4244322,111348358369,54822608357120,16906.6525,76.63799044515348,16243.93058257534,16906.6525,17569.37441742466,7.839776885751454,1.0514511296384672
2019-02-15,17495.18,17529.2,17320.26,17366.69,2968047,67702446715,53989582172840,16960.0315,65.20015050391697,16330.501205501778,16960.0315,17589.561794498222,7.423692514936923,0.8229856478345754
2019-02-18,17377.92,17514.95,17377.92,17448.2,3265523,61034934940,54240136184620,17015.350499999997,66.80555316299316,16419.28655227373,17015.350499999997,17611.414447726263,7.006190647983028,0.8630898175029229
2019-02-19,17469.05,17522.99,17371.69,17427.98,2083021,57416190025,54177952630110,17059.453,65.99224624781466,16478.510999931128,17059.453,17640.395000068875,6.810792820483439,0.8171805446639318
2019-02-20,17456.65,17550.89,17305.17,17542.74,3236582,82205430550,54530874534285,17109.1465,68.34753172596687,16541.52858575572,17109.1465,17676.764414244277,6.635256928149841,0.8819413456825844
2019-02-21,17558.83,17741.73,17549.81,17701.66,3961351,108132435480,55045091530540,17168.453,71.31071202232472,16613.602215983232,17168.453,17723.30378401677,6.46360838704302,0.9804958516413336
2019-02-22,17689.58,17703.04,17513.32,17614.89,3458838,70881110115,54781494481655,17215.0745,67.59014122213169,16674.89999554887,17215.0745,17755.24900445113,6.2755988009361205,0.8700799433381738
2019-02-25,17705.2,17828.96,17612.13,17663.34,3398494,80679760570,54943202981400,17256.459,68.57602294818204,16712.09369126328,17256.459,17800.82430873672,6.309119486642309,0.8737205452568501
2019-02-26,17533.17,17568.17,17404.25,17508.4,3666827,84504836065,54457098500245,17282.260000000002,62.073141221389605,16741.50300023021,17282.260000000002,17823.016999769796,6.257943113571879,0.7090957676888785
2019-02-27,17469.53,17575.52,17372.91,17564.12,3321990,70750951805,54639614883340,17307.103,63.41667615035549,16762.499064902182,17307.103,17851.706935097816,6.293415311595675,0.735966895789907
2019-02-28,17563.1,17598.95,17381.5,17463.2,5147748,119712467305,54332300186085,17328.073,59.31803707977509,16793.43102330529,17328.073,17862.71497669471,6.1708186097174345,0.6263714839932594
2019-03-04,17486.51,17533.42,17316.95,17373.01,4542731,96019919715,54042147016340,17344.762,55.84442096654896,16826.64448106821,17344.762,17862.879518931786,5.974339906558388,0.5272602247249225
2019-03-05,17285.81,17421.29,17285.81,17369.65,3475542,70324068950,54031893647890,17359.0405,55.7135265045896,16854.8945661088,17359.0405,17863.1864338912,5.808453916461559,0.5105222508868751
2019-03-06,17328.12,17329.04,17194.22,17294.89,2730653,69460637460,53809863658955,17384.749,52.7508409093757,16954.108138079035,17384.749,17815.389861920965,4.954237325151661,0.3956682842413453
2019-03-07,17321.46,17333.52,17009.12,17156.63,3884022,88977496705,53383099893690,17389.972999999998,47.6990371400009,16973.288913521967,17389.972999999998,17806.65708647803,4.792233851979317,0.2200001061088045
2019-03-08,16999.94,17075.36,16871.01,16909.98,4030489,80803517135,52611779956295,17386.7935,40.28680283506308,16956.69402851575,17386.7935,17816.89297148425,4.947427154802858,-0.05430607523713484
2019-03-11,16853.06,17037.26,16840.79,16998.42,2721302,58785513740,52890128069605,17381.307500000003,43.66709304069737,16934.650572285864,17381.307500000003,17827.96442771414,5.139508954825623,0.07138524419680226
2019-03-12,17083.36,17222.67,17073.65,17113.79,2702682,62893316968,53241750991960,17386.916999999998,47.817028214017014,16956.970363120454,17386.916999999998,17816.86363687954,4.945633971560845,0.18237104727427195
2019-03-13,17117.32,17134.77,16947.77,17083.92,2563906,77464806490,53154657416135,17381.3715,46.854621602160314,16938.976819232892,17381.3715,17823.76618076711,5.090446179889879,0.16381659530328874
2019-03-14,17173.75,17254.52,17092.32,17206.81,4479740,120002136080,53530994147965,17372.2945,51.205830665499406,16923.442531730914,17372.2945,17821.146468269086,5.167445995911315,0.3156580435213876
