날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2019-01-02,1989.37,1992.76,1945.04,1950.9,49823539,2706155336821,1034238946472280,,,,,,,
2019-01-03,1949.62,1954.42,1929.38,1932.11,62938353,3321383576840,1026459552558570,,,,,,,
2019-01-04,1930.99,1948.69,1924.01,1947.29,66556348,3658107123522,1035362634757850,,,,,,,
2019-01-07,1971.45,1986.45,1968.92,1975.84,67383324,3448536554147,1049549562522520,,,,,,,
2019-01-08,1972.05,1982.76,1958.76,1960.78,58782676,2817602732028,1041993574412470,,,,,,,
2019-01-09,1970.76,2009.26,1970.48,2006.51,67609833,3555611861258,1063740565995410,,,,,,,
2019-01-10,2007.75,2016.14,1999.77,2007.27,68770564,3521427778647,1063916904243930,,,,,,,
2019-01-11,2015.38,2023.31,2008.1,2020.26,55761467,2767248618426,1070760540913960,,,,,,,
2019-01-14,2012.98,2016.27,1996.75,2002.58,50527516,2797344698258,1062742262188100,,,,,,,
2019-01-15,2006.91,2042.54,2004.78,2042.47,56859974,2999778713457,1082156139356890,,,,,,,
2019-01-16,2042.32,2053.46,2035.23,2053.08,51051584,2885329828779,1086739010850140,,,,,,,
2019-01-17,2055.94,2068.23,2051.35,2060.33,56975200,3319925833478,1089433120575510,,,,,,,
2019-01-18,2068.38,2075.87,2065.47,2074.97,52789314,2961861258610,1097775813299370,,,,,,,
2019-01-21,2082.72,2084.15,2062.02,2076.07,60274985,3096323521595,1097477500848740,,,,,,,
2019-01-22,2076.28,2079.87,2056.48,2066.36,49414782,2791803617745,1093820497400890,,74.85771094137088,,,,,
2019-01-23,2055.5,2079.57,2052.97,2074.13,54405493,3014145096176,1098575291899770,,76.26842391450647,,,,,
2019-01-24,2076.59,2097.3,2074.18,2097.26,66540791,3619725003964,1108550517804470,,79.88638065087311,,,,,
2019-01-25,2103.31,2136.71,2102.11,2136.71,75319062,4454611335733,1127433191503510,,84.28651043870153,,,,,
2019-01-28,2143.5,2149.9,2127.26,2136.16,70932071,3892005812010,1126953274666890,,84.01057366916824,,,,,
2019-01-29,2131.95,2148.45,2121.83,2148.45,70997064,3618983953262,1132330196812060,2038.4765,85.17825594454783,1911.1056364126,2038.4765,2165.8473635873997,12.4966722537542,0.9317058741010179
2019-01-30,2146.48,2175.9,2141.57,2175.9,89333931,4327434727399,1145069684177040,2049.7264999999998,87.39280552108225,1915.7108222193756,2049.7264999999998,2183.742177780624,13.076444860387392,0.9707415657985141
2019-01-31,2192.84,2193.22,2169.79,2169.79,106232430,5073787055161,1143100383526110,2061.6105,84.37102466144763,1929.2790802275206,2061.6105,2193.941919772479,12.837674213677058,0.9087445754983804
2019-02-01,2179.21,2190.03,2166.84,2169.43,69785544,3902473741220,1141441163010700,2072.7174999999997,84.18632130355854,1943.3756412109747,2072.7174999999997,2202.059358789025,12.480413639487784,0.873863886391767
2019-02-07,2182.42,2183.17,2163.18,2167.07,65462680,3559225405982,1139870896740190,2082.279,82.90500485283003,1954.7366299577268,2082.279,2209.821370042273,12.250267139252049,0.8324032632132242
2019-02-08,2152.64,2152.77,2129.57,2133.7,61105196,3402336005446,1123778590191230,2090.925,67.30598120430277,1974.5443085602249,2090.925,2207.3056914397753,11.13198143785886,0.6837718932187948
2019-02-11,2134.81,2139.14,2122.15,2138.64,56148584,3218647157308,1126645795685920,2097.5315,68.25812953014152,1986.175998245483,2097.5315,2208.887001754517,10.617766813467822,0.6845822584079572
2019-02-12,2138.44,2156.79,2133.12,2152.17,65085332,3725755482158,1132772457736460,2104.7765,70.76905960531376,1999.1463285005639,2104.7765,2210.406671499436,10.037186513573872,0.724336945246052
2019-02-13,2162.84,2166.76,2154.81,2161.07,64306927,3371535350126,1137421024209930,2111.817,72.32016900962753,2010.9971485619012,2111.817,2212.636851438099,9.548161743001291,0.7442624111097824
2019-02-14,2155.74,2190.29,2145.99,2190.29,80949103,4187031301054,1151699184691930,2121.2025,76.69298487396098,2028.157618813551,2121.2025,2214.247381186449,8.77284287440251,0.8712590048965638
2019-02-15,2172.65,2172.65,2143.19,2152.32,55820724,3134884710602,1133438628914370,2126.6949999999997,62.80767589805643,2040.1468738504382,2126.6949999999997,2213.2431261495612,8.139213770621698,0.6480390225648477
2019-02-18,2165.06,2175.71,2157.17,2166.46,51739641,2949966023875,1141185148160630,2132.3640000000005,65.32538230201794,2051.1578099896296,2132.3640000000005,2213.5701900103713,7.6165410793251835,0.7099347352439829
2019-02-19,2161.97,2167.23,2144.9,2157.93,40085477,2488971412199,1137169862180370,2137.244,62.5735202460065,2062.463438782525,2137.244,2212.0245612174754,6.9978496809419255,0.6383113449753414
2019-02-20,2171.04,2192.09,2169.72,2186.56,65194293,3733658624790,1152356439607860,2142.8235,67.51922397977896,2070.862313162924,2142.8235,2214.784686837076,6.716482886908435,0.8038895126828692
2019-02-21,2178.5,2193.32,2168.57,2187.3,62869075,3391427006368,1152015089613920,2148.3849999999998,67.63825935484972,2080.863765266024,2148.3849999999998,2215.9062347339755,6.285766725607905,0.7881686046865118
2019-02-22,2177.61,2189.37,2171.55,2189.37,50509564,2643371199257,1152894213660320,2154.5355,67.99163486599225,2096.2419629740084,2154.5355,2212.8290370259915,5.411239408772012,0.7987852665765345
2019-02-25,2199.77,2200.63,2182.1,2191.27,50405901,2852320960830,1153515029603000,2160.3925000000004,68.33343596792557,2113.087167583869,2160.3925000000004,2207.697832416132,4.37932759127163,0.8263638412724708
2019-02-26,2187.14,2192.15,2175.8,2182.33,52178171,3014232409057,1149611240078420,2164.6459999999997,64.82570853417896,2126.376773511857,2164.6459999999997,2202.9152264881423,3.5358415637607745,0.7310472620276173
2019-02-27,2189.83,2194.1,2184.04,2188.39,51409909,3076159888202,1153488629615190,2167.23,66.09616896841466,2129.887036004078,2167.23,2204.5729639959222,3.446146832216444,0.7833197707915002
2019-02-28,2182.85,2184.73,2152.14,2152.14,90269399,5124384298797,1135924335172760,2168.0289999999995,53.61996694637539,2132.7527190735645,2168.0289999999995,2203.3052809264345,3.254225928383338,0.27479201913128937
2019-03-04,2170.61,2174.17,2137.46,2140.0,72140773,4047955104435,1129665104065750,2167.6065,50.20233428789419,2131.217497664119,2167.6065,2203.9955023358807,3.357528438476341,0.12067522839477668
