날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2019-01-02,435.43,435.66,422.05,424.16,33364464,553056180212,256083870853401,,,,,,,
2019-01-03,424.76,425.91,421.54,422.31,32831682,556435416695,254962156021837,,,,,,,
2019-01-04,421.8,424.3,420.17,423.66,29419624,538651730354,255765326560977,,,,,,,
2019-01-07,428.01,431.57,425.53,426.2,49214471,669240831466,257303063900882,,,,,,,
2019-01-08,428.5,428.5,424.3,425.23,28394944,484574207582,256709479987712,,,,,,,
2019-01-09,425.81,431.7,425.81,430.46,30423382,520037186913,259849831259850,,,,,,,
2019-01-10,430.33,431.12,427.95,428.39,30987534,565348276211,258609038027864,,,,,,,
2019-01-11,429.03,430.3,427.25,428.68,22140884,442834839391,258777435579497,,,,,,,
2019-01-14,427.9,429.6,424.01,426.0,25662631,419747829223,256586907670924,,,,,,,
2019-01-15,427.23,435.51,427.23,435.05,38767360,581150518839,262011773908828,,,,,,,
2019-01-16,435.45,438.77,435.35,438.44,36430190,550209653091,264096910093536,,,,,,,
2019-01-17,439.6,442.01,438.61,441.2,37497500,658066886701,265739677066757,,,,,,,
2019-01-18,442.06,442.42,440.28,441.79,36137225,534278480714,266103240227805,,,,,,,
2019-01-21,442.71,443.05,439.13,439.65,32674340,480766269789,264846166121699,,,,,,,
2019-01-22,439.29,440.74,437.59,439.2,26081397,486156080278,264586400465210,,71.24252983964183,,,,,
2019-01-23,438.91,440.82,437.17,439.97,28980345,620425747239,265145204728883,,72.26514049782566,,,,,
2019-01-24,440.2,445.08,439.94,444.57,43548571,659560854870,267915217376275,,77.42888204703512,,,,,
2019-01-25,442.83,448.49,441.86,448.38,33265451,613700557027,270194380038961,,80.64342268839545,,,,,
2019-01-28,448.61,448.61,445.48,446.31,27092160,533467849739,268947681862127,,74.44038375430833,,,,,
2019-01-29,445.39,446.33,442.89,446.33,27327394,519213330547,268949053947348,434.799,74.46082403094516,417.7595975456884,434.799,451.83840245431156,7.837829642805795,0.8383628044151937
2019-01-30,446.25,448.69,443.19,448.69,33766583,599959392842,270355169260793,436.0255,76.81680815682334,418.69695883231947,436.0255,453.3540411676806,7.948407222825525,0.8654231443215925
2019-01-31,451.32,452.63,446.91,451.09,58312191,956567811191,271805889690507,437.46450000000004,78.94408281023871,420.15091287889777,437.46450000000004,454.7780871211023,7.915424964129556,0.8934915365803312
2019-02-01,451.31,455.9,451.18,452.05,31845271,757825966416,272378499481543,438.884,79.74471557152087,421.6754295770974,438.884,456.0925704229026,7.8419675462776475,0.882541944985668
2019-02-07,451.86,454.08,449.43,453.22,31057363,566315558622,273089037529026,440.235,80.70753791637956,422.97923284811725,440.235,457.4907671518828,7.83934360143231,0.8762510204764564
2019-02-08,452.27,453.49,449.81,450.41,34134657,601501710032,271402396510154,441.494,71.87128086976388,425.15088842355914,441.494,457.8371115764409,7.403548667225778,0.7727754735778923
2019-02-11,449.78,450.18,447.54,448.61,29580559,552950173288,270331716242321,442.40149999999994,66.82421496043699,426.6033757126044,442.40149999999994,458.19962428739547,7.14198495592602,0.6964948460670581
2019-02-12,450.29,450.29,447.05,449.9,27950691,611874772025,271105864960991,443.47700000000003,68.52984323303387,428.7482864105518,443.47700000000003,458.20571358944824,6.642379915733264,0.7180434822427888
2019-02-13,450.75,452.73,449.73,452.28,36515933,651131673288,272654837414155,444.657,71.44655565869402,431.1265260984695,444.657,458.18747390153044,6.085802720537608,0.7816974503434702
2019-02-14,450.73,457.63,449.13,457.63,33256070,716111962255,275843718636465,446.23850000000004,76.67898785128638,434.5290093620603,446.23850000000004,457.94799063793977,5.248086230990702,0.9864216707723624
2019-02-15,455.97,455.97,451.17,452.95,26343474,529562598692,273045176794644,447.1335,65.39048342232573,436.27622543406966,447.1335,457.9907745659304,4.856390570570251,0.7678618821270244
2019-02-18,454.66,457.49,454.57,456.2,25861909,565054202522,275002913628846,448.0215,68.82302781670356,437.24879695016153,448.0215,458.7942030498385,4.809011643342326,0.8795936805351103
2019-02-19,456.18,456.77,452.76,453.97,21456080,482536294891,273672646336922,448.65999999999997,64.12360273976537,438.06798602719954,448.65999999999997,459.2520139728004,4.721621705879923,0.7506605454654695
2019-02-20,453.92,457.43,451.37,457.13,29992175,725270716774,275578183109527,449.427,67.50922095449016,438.71502520540685,449.427,460.1389747945932,4.7669475997628865,0.8595508833669041
2019-02-21,456.39,457.1,454.43,456.48,26528760,583416314535,275211621198843,450.2685,66.126870731127,440.13218257205807,450.2685,460.40481742794196,4.502343569644311,0.8063982577576583
2019-02-22,455.96,455.96,453.53,455.46,25457974,521690940874,274611116057876,451.08149999999995,63.91514993625189,442.0821082983348,451.08149999999995,460.0808917016651,3.990140008696948,0.7432664420635161
2019-02-25,457.23,458.12,454.36,457.0,23698814,471315024282,275547581933687,451.933,65.77631272588859,444.16116083542636,451.933,459.7048391645736,3.439376706092998,0.8259846152695045
2019-02-26,454.62,455.03,452.55,454.23,28662681,599289298199,273893531029489,452.41600000000005,59.801612972970254,445.3675380401112,452.41600000000005,459.4644619598889,3.1159207277765897,0.6286805554405351
2019-02-27,453.76,456.18,451.66,456.18,26805470,557861582921,275070701629982,452.8059999999999,62.39145134314233,445.8311812926785,452.8059999999999,459.7808187073214,3.0807094902989127,0.7418700859176743
2019-02-28,456.81,458.28,453.44,453.81,41019594,861770064636,273658559420242,453.18100000000004,57.53937534559441,446.868504772279,453.18100000000004,459.4934952277211,2.785860496234863,0.549821819843739
