날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2019-01-02,1967.57,1970.67,1922.25,1927.84,51579522,2713247307536,1041780151624605,,,,,,,
2019-01-03,1928.05,1933.83,1910.39,1912.98,64290198,3307369097535,1033765739879955,,,,,,,
2019-01-04,1912.39,1930.17,1905.38,1928.77,68736915,3644281934952,1042619444163095,,,,,,,
2019-01-07,1952.1,1966.42,1948.95,1955.28,71440257,3470847103707,1056967228496750,,,,,,,
2019-01-08,1954.45,1960.32,1939.14,1941.03,61784054,2851302165106,1049266327777915,,,,,,,
2019-01-09,1949.69,1984.8,1949.69,1981.81,71769591,3604069757617,1071328992885975,,,,,,,
2019-01-10,1982.64,1990.1,1974.71,1981.49,71182451,3545145429982,1071146426974930,,,,,,,
2019-01-11,1988.97,1996.4,1982.42,1994.31,57773661,2771594686458,1078086788407440,,,,,,,
2019-01-14,1987.7,1991.42,1974.83,1980.46,51664636,2788374356188,1070020254621075,,,,,,,
2019-01-15,1984.28,2016.62,1982.4,2016.25,59796881,3019482051767,1089379971428655,,,,,,,
2019-01-16,2016.34,2024.95,2008.99,2024.65,53022852,2890363837699,1093937727041335,,,,,,,
2019-01-17,2027.55,2038.16,2021.67,2029.66,60321338,3344526686948,1096664586479025,,,,,,,
2019-01-18,2038.14,2045.27,2035.42,2045.02,56852414,2977464565663,1104952225635575,,,,,,,
2019-01-21,2053.75,2054.45,2033.5,2044.76,64484784,3136882694185,1104820257563205,,,,,,,
2019-01-22,2045.24,2048.88,2027.92,2037.66,51922920,2805577924350,1101105656244265,,76.69862222775217,,,,,
2019-01-23,2027.96,2050.14,2025.62,2045.39,55658864,3019137010106,1105481976517660,,78.16618451560764,,,,,
2019-01-24,2045.08,2064.26,2042.8,2064.18,69130791,3623785958074,1115621562244745,,81.25646813974437,,,,,
2019-01-25,2067.67,2099.29,2066.48,2099.29,79461155,4487098255863,1134602023993850,,85.41145322839631,,,,,
2019-01-28,2105.65,2110.41,2090.22,2098.39,73835010,3915531535386,1134111879818760,,84.89195872312698,,,,,
2019-01-29,2093.83,2108.72,2085.63,2108.72,72363109,3639576489593,1139698647792710,2010.8970000000002,85.94837230703837,1895.3272953019261,2010.8970000000002,2126.466704698074,11.494343539034958,0.9232207750965642
2019-01-30,2107.44,2132.18,2101.56,2132.18,84122750,4295267739729,1152373128310240,2021.1140000000003,88.00048770438443,1900.6937838566964,2021.1140000000003,2141.534216143304,11.916222058063408,0.9611601089796565
2019-01-31,2148.75,2148.75,2126.64,2128.31,109109112,5088141340796,1150267139033645,2031.8805,85.77510832047275,1913.571740987829,2031.8805,2150.189259012171,11.645247740914991,0.9075332241042259
2019-02-01,2135.45,2143.72,2122.34,2124.8,78453158,4036514652898,1148382663817040,2041.682,83.70751897217774,1926.7335919901454,2041.682,2156.6304080098544,11.26016764705321,0.8615448070967395
2019-02-07,2135.93,2135.94,2117.08,2121.63,72998687,3611074216347,1146668516394740,2049.9995,81.78999836643116,1937.2090363117964,2049.9995,2162.7899636882034,11.00395036078824,0.817537926779052
2019-02-08,2109.34,2109.7,2087.72,2092.19,65827166,3442769726196,1130747009263935,2057.5575,66.54423332934454,1955.2133134772669,2057.5575,2159.9016865227327,9.948124076506529,0.6691962248989474
2019-02-11,2094.45,2098.09,2082.87,2097.66,61886462,3274958367343,1133703804499160,2063.35,67.7471921368479,1965.8091078572686,2063.35,2160.890892142731,9.45461430612656,0.6758749548332733
2019-02-12,2099.07,2114.21,2094.31,2109.93,68908333,3782822324098,1140347664520005,2069.772,70.3247917873012,1977.8862847663472,2069.772,2161.6577152336527,8.878824839997133,0.7185214529695048
2019-02-13,2118.61,2123.36,2112.48,2118.75,62462535,3321204807376,1135069806420640,2075.9939999999997,72.05373381685186,1988.6498660469979,2075.9939999999997,2163.3381339530015,8.414680770079471,0.7447559902706603
2019-02-14,2112.68,2144.67,2102.82,2144.67,76425350,4066627931549,1148970083023135,2084.2045,76.404510090091,2003.72296137778,2084.2045,2164.6860386222197,7.722998258781218,0.8756482606764338
2019-02-15,2128.33,2128.33,2102.12,2110.88,55636764,3095765156928,1130859493724680,2088.936,62.700391953892456,2014.0595461843989,2088.936,2163.8124538156017,7.168860493150714,0.646534717402893
2019-02-18,2122.58,2133.06,2116.51,2125.11,50278878,2911954019430,1138478019756075,2093.959,65.50629902961431,2023.6686385270364,2093.959,2164.2493614729633,6.7136330246163824,0.72158799120689
2019-02-19,2121.95,2126.74,2105.58,2117.73,40835310,2487045625498,1134519251540595,2098.3625,62.86502037386073,2033.9473505784558,2098.3625,2162.7776494215445,6.139563533140184,0.6503334244655354
2019-02-20,2129.96,2151.04,2128.89,2146.63,64521987,3706501504970,1150010517012430,2103.443,68.26185237034795,2040.6502344612866,2103.443,2166.235765538714,5.9704746492977225,0.8438851564307485
2019-02-21,2139.39,2151.95,2129.35,2146.08,64425931,3389448430915,1149731606687645,2108.509,68.0591346742195,2049.2205708084634,2108.509,2167.7974291915366,5.623730246495185,0.8168493457519631
2019-02-22,2138.38,2147.95,2132.41,2147.95,45928869,2570927043499,1150737734347885,2114.0235000000002,68.40271396171683,2062.0554200758793,2114.0235000000002,2165.991579924121,4.916509199081368,0.8264167162759906
2019-02-25,2157.71,2158.36,2140.89,2149.64,50681958,2820168255240,1151649962610740,2119.236,68.73008240653199,2075.605778180717,2119.236,2162.8662218192826,4.117542531297385,0.848428207928142
2019-02-26,2146.17,2151.4,2136.74,2142.83,57281231,3079452882372,1147996374097455,2123.1684999999998,65.77289347530282,2086.4691707009533,2123.1684999999998,2159.867829299046,3.45703407892934,0.7678727428475243
2019-02-27,2150.45,2154.17,2144.54,2150.46,53202082,3100823919492,1152090719304910,2125.727,67.46210401774475,2088.908720246597,2125.727,2162.5452797534026,3.4640647414651786,0.8358793534849268
2019-02-28,2145.7,2148.03,2117.28,2117.28,93524780,5151994856515,1134303095220815,2126.6715,54.797043930353304,2091.788474744156,2126.6715,2161.554525255844,3.280527834773178,0.36538581543430904
2019-03-04,2134.32,2137.99,2104.1,2106.31,75330990,4051950363304,1128414432444945,2126.551,51.36369042436397,2091.405100722846,2126.551,2161.696899277154,3.3054367637695083,0.21204321960318606
2019-03-05,2098.77,2101.61,2086.59,2093.31,53159446,3069913050237,1121442075075540,2124.6074999999996,47.56065292994071,2086.7289948156626,2124.6074999999996,2162.4860051843366,3.5656943867831568,0.08686991675503858
2019-03-06,2090.49,2092.22,2081.66,2089.23,53099794,2970337075042,1119255132029990,2122.6535,46.39950062645469,2081.823602975885,2122.6535,2163.4833970241148,3.8470618990913845,0.09069820846891487
2019-03-07,2086.04,2096.22,2071.18,2081.16,53845270,3044718358631,1114935690891450,2120.4715,44.10580800476605,2075.845760667191,2120.4715,2165.0972393328093,4.209039294591716,0.05954231136851853
2019-03-08,2068.25,2074.69,2051.8,2051.8,51036399,2825121437130,1099203066803155,2116.98,36.949380554002616,2063.262396926149,2116.98,2170.697603073851,5.0749277814481975,-0.1066912545445326
2019-03-11,2055.39,2060.55,2043.03,2051.74,47683361,2577574641198,1099174950700400,2114.9574999999995,36.936190928055844,2054.977823817147,2114.9574999999995,2174.937176182852,5.671950966660321,-0.026991007814684827
2019-03-12,2068.74,2076.11,2064.42,2069.82,46828053,2535692669935,1108856690400310,2113.5654999999997,43.483089187645895,2050.8164045563217,2113.5654999999997,2176.3145954436777,5.9377478903471905,0.15142525409577912
2019-03-13,2064.01,2065.2,2042.39,2057.1,44408850,2418459002655,1102250301546840,2110.924,40.31230696820929,2043.5106032898516,2110.924,2178.3373967101484,6.387098418526521,0.10079151454552487
2019-03-14,2062.94,2067.23,2048.07,2062.17,72266755,4000976832528,1104974579128575,2108.0950000000003,42.123860249174676,2037.5563982276385,2108.0950000000003,2178.633601772362,6.692165369431808,0.17446902230776568
2019-03-15,2059.2,2090.51,2058.75,2085.91,99134240,4782393672441,1134897952746715,2105.157,49.805898137579014,2036.0769328025817,2105.157,2174.2370671974186,6.562937319869104,0.360690639276625
2019-03-18,2088.79,2092.61,2080.57,2087.54,47360626,2520600716104,1135790634644475,2103.99,50.29374053780675,2034.548446733963,2103.99,2173.4315532660366,6.600939478423079,0.38155506878584367
2019-03-19,2090.39,2091.21,2078.09,2087.38,42740911,2302492854830,1135706260266280,2102.1035,50.24212126463633,2033.0103648055408,2102.1035,2171.1966351944598,6.573713919838816,0.3934517882379953
2019-03-20,2079.95,2088.06,2062.19,2087.72,49457939,2594560257949,1135897537061830,2100.603,50.358717508252965,2031.6291292662224,2100.603,2169.5768707337775,6.567054387123841,0.40660956197655324
2019-03-21,2095.62,2117.69,2091.05,2103.61,75297637,4368806438459,1144547516149790,2098.4519999999998,55.59565978086076,2032.7481256545711,2098.4519999999998,2164.1558743454284,6.262127925292419,0.5392518709998966
2019-03-22,2112.34,2115.47,2099.48,2107.69,95902663,5183991799623,1146770104914940,2096.5325000000003,56.85427650651463,2034.358196344874,2096.5325000000003,2158.706803655127,5.93115572070802,0.5897275831337736
2019-03-25,2079.05,2079.58,2064.82,2066.58,57842987,2756351817989,1124394673920205,2092.464,43.48095822695861,2033.72634720386,2092.464,2151.20165279614,5.61420916165248,0.2796643314141663
2019-03-26,2073.91,2073.91,2063.32,2067.11,53704759,2768985632471,1124698878159980,2088.3375,43.6649370784279,2034.888964800241,2088.3375,2141.786035199759,5.118764107789965,0.30142112481975347
2019-03-27,2063.6,2070.68,2048.47,2063.59,51023900,2787526877215,1122804891144095,2084.3755,42.671450518278384,2036.1825816509322,2084.3755,2132.568418349068,4.624206948226737,0.28435109646766216
2019-03-28,2047.92,2055.76,2038.81,2048.56,52449047,2643119216882,1114632623879335,2079.2805,38.629851723821346,2039.2575183644453,2079.2805,2119.3034816355544,3.8496952802235693,0.1162142506055912
2019-03-29,2057.68,2062.33,2043.14,2059.43,67677598,3469185881947,1120546856464360,2076.388,42.84601622617906,2039.5316721308272,2076.388,2113.2443278691726,3.5500424650087243,0.2699445253987976
2019-04-01,2072.7,2090.57,2072.7,2086.66,61408508,2951658509923,1135367906874570,2075.4055,51.782520371255224,2040.8140955908123,2075.4055,2109.9969044091877,3.333459838011194,0.6626776968472928
2019-04-02,2096.41,2102.43,2092.06,2098.12,58847445,2913983289459,1141583760410660,2075.646,54.97341061040195,2040.4976091975757,2075.646,2110.7943908024245,3.3867423252736146,0.8197016916980685
2019-04-03,2098.14,2125.24,2093.64,2125.24,77306215,3942405873945,1156337774066980,2077.4465,61.471417173927854,2036.4898139646293,2077.4465,2118.4031860353707,3.942983468924056,1.0834639545631783
2019-04-04,2122.42,2139.27,2120.69,2128.26,61453849,3298987031784,1157985827091355,2079.8015000000005,62.1268741438884,2033.2299381730668,2079.8015000000005,2126.373061826934,4.478462182754815,1.0202584807020016
2019-04-05,2127.26,2137.55,2126.49,2131.83,52155019,2455669280354,1159928063549255,2083.803,62.92972145456158,2033.908726541016,2083.803,2133.697273458984,4.788770671602259,0.9812876976701637
2019-04-08,2139.57,2139.62,2122.2,2131.36,53200856,2806085806110,1159665795965810,2087.784,62.74115317973524,2036.08514569935,2087.784,2139.48285430065,4.952509866983371,0.9214406739711067
2019-04-09,2132.33,2142.65,2124.22,2134.42,54407727,2860542170096,1161306016983130,2091.014,63.50784456998827,2036.2282155664464,2091.014,2145.7997844335537,5.240116463453009,0.8961429086832238
2019-04-10,2125.62,2143.98,2123.03,2143.52,61126677,3203413278915,1166255444073765,2095.335,65.76404790262072,2038.3425255845145,2095.335,2152.3274744154855,5.43993914247464,0.9227312508729006
2019-04-11,2146.04,2148.36,2132.01,2139.9,68724712,3698352063167,1164273228929365,2099.2215,64.06711089175329,2041.2133366865512,2099.2215,2157.229663313449,5.526635785070683,0.8506273744627342
2019-04-12,2135.68,2147.5,2127.93,2146.74,54440711,2943949625935,1168005421764185,2102.263,65.85968423174009,2041.07389570847,2102.263,2163.45210429153,5.821260640702893,0.8634388876497786
2019-04-15,2155.4,2164.75,2152.81,2155.59,61122321,3426772240277,1172833947895825,2105.6655,68.07858930955693,2040.679356099937,2105.6655,2170.651643900063,6.172504027829964,0.8841164977935535
2019-04-16,2153.29,2165.22,2150.7,2164.1,55699813,3068543846747,1177454796993125,2109.5015,70.09155336797248,2040.3611675521465,2109.5015,2178.641832447853,6.555134703421953,0.8948382808339768
2019-04-17,2164.21,2167.61,2157.6,2161.41,49973029,2846639151777,1175990259736370,2113.186,68.61855283914633,2041.2826263934744,2113.186,2185.089373606526,6.8052101051706515,0.8353389248736378
2019-04-18,2164.82,2166.27,2126.42,2129.71,65705497,3539639921732,1158746455461055,2114.491,54.17096205852409,2042.3830836800867,2114.491,2186.5989163199133,6.820356891555777,0.6055293286556748
2019-04-19,2139.1,2141.39,2129.91,2130.58,42113557,2390755227195,1159187808812335,2115.6355,54.45439156419044,2043.2695374278098,2115.6355,2188.00146257219,6.8410614751161205,0.6032564168899969
2019-04-22,2131.7,2142.72,2121.95,2131.6,40163051,2117212045282,1159750588631230,2118.8864999999996,54.807280786506,2049.8630172495646,2118.8864999999996,2187.9099827504347,6.515071265066351,0.5920954687694324
2019-04-23,2132.39,2139.54,2128.91,2136.62,53740592,2532367696229,1162482668366955,2122.362,56.58994856887724,2057.226303304566,2122.362,2187.497696695434,6.13803834552579,0.609448433987498
2019-04-24,2146.33,2146.33,2104.83,2117.06,71175625,3807291683832,1152386693244640,2125.0355,48.553370904687924,2065.631281134674,2125.0355,2184.439718865326,5.590891904189472,0.4328709294361645
