날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2019-01-02,4060.93,4075.57,3937.64,3956.03,10683696,99866680530,42324180214590
2019-01-03,3938.57,3997.98,3899.13,3986.42,13599096,125416751879,42649279021190
2019-01-04,3961.48,4045.55,3961.48,4036.69,25593285,168577691461,43186476726446
2019-01-07,4107.03,4161.12,4100.3,4107.75,43019480,243711515047,43948420655317
2019-01-08,4147.66,4153.92,4097.78,4111.26,31197244,141340213056,44022805643243
2019-01-09,4130.12,4273.39,4130.12,4245.91,18199552,242304769974,45462052998184
2019-01-10,4238.56,4269.7,4172.51,4269.23,17981031,172097265310,45710945042969
2019-01-11,4254.43,4256.38,4207.04,4246.74,27076809,145906491962,45470026626652
2019-01-14,4209.46,4236.37,4160.59,4175.13,21938631,141372514538,44703694802292
2019-01-15,4199.36,4269.63,4188.04,4256.43,18030630,153846065317,45573421603759
2019-01-16,4245.34,4327.09,4240.48,4319.87,33499795,244576332846,46252257809047
2019-01-17,4325.49,4346.32,4256.25,4301.38,22491064,189733122016,46053495466704
2019-01-18,4328.74,4352.44,4283.31,4297.74,26386773,163789940239,46014803794419
2019-01-21,4359.26,4394.01,4345.42,4377.2,13437710,159390836599,46865156477797
2019-01-22,4398.15,4400.7,4347.51,4357.79,44211946,248331049946,46658927715416
2019-01-23,4319.41,4371.82,4292.99,4351.5,20751923,154141904728,46590177772974
2019-01-24,4304.88,4347.06,4295.83,4317.56,16878555,174657801059,46227157028274
2019-01-25,4304.62,4389.49,4290.13,4365.17,21985591,192671025968,46736679212854
2019-01-28,4383.2,4398.16,4333.76,4357.95,14861735,167725031368,46659232617289
2019-01-29,4345.69,4362.85,4294.74,4362.23,35503292,195392760673,46704750198252
2019-01-30,4422.54,4528.93,4386.34,4528.35,20171740,266378551597,48482387528547
2019-01-31,4574.52,4576.31,4450.38,4450.89,23375113,230946521600,47653428614276
2019-02-01,4437.24,4468.68,4421.19,4425.65,19905888,177943124301,47383905277777
2019-02-07,4452.44,4512.6,4412.84,4492.38,20178178,202544399931,48097796956552
2019-02-08,4439.09,4449.48,4346.13,4364.34,16777670,199047284887,46729429371968
2019-02-11,4382.97,4401.44,4309.13,4360.75,16188984,164282693208,46689288959996
2019-02-12,4353.76,4387.66,4326.76,4368.9,63576318,287849680454,46776031808077
2019-02-13,4384.71,4400.68,4364.4,4380.77,35325442,236307696081,46903106833332
2019-02-14,4349.95,4389.66,4293.37,4389.66,41667468,245391086168,46998093190384
2019-02-15,4360.25,4380.06,4324.58,4352.55,15852302,114151842839,46600522412715
2019-02-18,4358.79,4384.54,4332.88,4348.03,38556687,242502210496,46554298681889
2019-02-19,4354.99,4415.72,4335.25,4402.61,15725468,149607474060,47137343218195
2019-02-20,4428.6,4500.67,4421.53,4482.22,17112121,243269809054,47990522416635
2019-02-21,4479.23,4510.29,4442.42,4498.92,15925216,165688486005,48169323480275
2019-02-22,4472.23,4499.49,4454.78,4491.13,31589034,180770656540,48085282365800
2019-02-25,4522.73,4523.67,4473.77,4496.7,21710090,165311686863,48145429736590
2019-02-26,4488.13,4539.11,4476.42,4526.29,19039279,165697402705,48462593019570
2019-02-27,4528.54,4532.7,4444.06,4462.27,12202704,169430990100,47777605781435
2019-02-28,4464.32,4472.71,4376.72,4376.72,19905787,208603028770,46859925141018
2019-03-04,4385.67,4443.63,4363.91,4393.83,18506378,174927333586,47043135868700
2019-03-05,4367.7,4376.25,4255.05,4290.02,10085409,171385361121,45932346578393
2019-03-06,4287.09,4328.71,4262.6,4284.0,7092765,97175566985,45867645713865
2019-03-07,4296.19,4302.19,4217.14,4232.09,8136579,120021704511,45312074955215
2019-03-08,4222.93,4247.35,4174.3,4176.73,7322967,112999145588,44719428779363
2019-03-11,4168.19,4193.31,4129.84,4172.59,7427554,98156827410,44674528760805
2019-03-12,4210.43,4240.02,4191.24,4214.86,11698901,110931604739,45127446255624
2019-03-13,4225.23,4271.48,4210.95,4265.35,7364752,119431527379,45667006144679
2019-03-14,4272.67,4304.17,4255.28,4294.9,27079156,238722854946,45984610189375
2019-03-15,4290.48,4358.04,4290.48,4349.23,14496369,200034335258,46566784451760
2019-03-18,4331.96,4340.98,4298.57,4315.66,6805240,79798268741,46207023439621
2019-03-19,4328.27,4328.42,4289.32,4309.03,14344797,124119729528,46137814083810
2019-03-20,4302.4,4322.32,4253.66,4293.97,6679909,99188072812,45978833443525
2019-03-21,4295.77,4340.99,4262.26,4280.07,11894142,150447611961,45830759861843
2019-03-22,4283.31,4322.93,4253.57,4280.68,7350306,107209736860,45836902384459
2019-03-25,4216.55,4231.96,4195.77,4209.58,5840317,102558593989,45074491478838
2019-03-26,4223.45,4242.75,4190.67,4203.06,5020083,95046876329,45005270100070
2019-03-27,4211.16,4225.08,4183.15,4214.5,5694191,78068465811,45126039430044
2019-03-28,4178.06,4214.92,4155.08,4208.13,8036627,78964846778,45059303897030
2019-03-29,4213.6,4219.83,4174.82,4213.82,9566505,106935318920,45119795815380
2019-04-01,4252.11,4374.95,4252.11,4370.11,8282112,161906437060,46792285806119
2019-04-02,4392.56,4431.22,4351.86,4382.52,6209257,119747767038,46924901603288
2019-04-03,4373.74,4475.06,4367.31,4473.05,11412821,141198595259,47894881638322
2019-04-04,4478.99,4514.32,4447.57,4476.74,8591405,121299546900,47934085014897
2019-04-05,4497.09,4522.43,4489.94,4509.09,6801843,98614239496,48279060949256
2019-04-08,4524.2,4541.25,4470.29,4513.67,5687377,110754727435,48328612465400
2019-04-09,4493.88,4514.86,4471.25,4473.88,6445063,100988721621,47902978367674
2019-04-10,4446.32,4498.01,4435.18,4494.48,17752605,142920395088,48126184700575
2019-04-11,4510.3,4524.72,4454.43,4461.32,25199535,209707573935,47770737225330
2019-04-12,4472.82,4481.42,4438.39,4456.03,17549267,138659576535,47714398928495
2019-04-15,4476.51,4482.05,4407.51,4427.75,19035321,148938082866,47411134588510
2019-04-16,4412.86,4447.85,4405.13,4442.63,27080164,190230605633,47570841175120
2019-04-17,4423.36,4471.7,4402.51,4456.14,13473286,169845347983,47717276373355
2019-04-18,4452.78,4492.21,4408.3,4427.19,11600122,173053257353,47405386538820
2019-04-19,4416.77,4426.65,4364.14,4372.27,16510682,142355424213,46776085613750
2019-04-22,4362.55,4376.03,4325.13,4361.53,12622681,107300471025,46663789150480
2019-04-23,4353.96,4362.93,4325.12,4335.93,16332808,140819391700,46391579613360
2019-04-24,4348.43,4368.84,4282.58,4287.82,29246688,207033748466,45875889921515
2019-04-25,4309.23,4321.67,4282.08,4301.69,14663309,132153198187,46023474374085
2019-04-26,4270.54,4290.31,4228.45,4237.29,148386696,422955206838,45335964698715
2019-04-29,4238.43,4289.77,4213.17,4289.77,68207546,233085620901,45896518869000
2019-04-30,4287.32,4294.49,4219.1,4246.97,35304286,188955498253,45438131621595
2019-05-02,4206.25,4235.41,4197.35,4220.89,20889864,172730276436,45793380182880
2019-05-03,4217.5,4217.84,4173.28,4187.77,19529888,166732995965,45434296044485
2019-05-07,4140.43,4151.98,4112.72,4144.22,14373250,155535094231,44960771657565
2019-05-08,4101.98,4143.67,4094.77,4128.79,12279826,108926313140,44793623061585
2019-05-09,4123.1,4134.19,4044.17,4050.81,158823271,460581305848,43949032103345
2019-05-10,4070.37,4087.3,4011.26,4036.34,158283858,404992310185,43790271090980
2019-05-13,4026.56,4027.3,3979.32,3985.78,96734642,237514549582,43241336399720
2019-05-14,3968.24,4018.65,3946.61,4004.64,252258463,568653511118,43445945649140
2019-05-15,4007.77,4042.86,3982.83,4029.39,138026199,360535097500,43716397385540
2019-05-16,4012.9,4016.99,3956.41,3964.47,117721883,529443645493,43015228951210
2019-05-17,3983.72,4018.78,3953.9,3955.04,60156377,293964427939,42911698767230
2019-05-20,3966.25,4015.99,3944.45,3954.61,46652289,215693537500,42906289030850
2019-05-21,3948.88,3957.36,3908.9,3933.19,72142204,232581307844,42672764365770
2019-05-22,3964.99,3969.52,3922.06,3952.45,69740572,304649381324,42882234587050
2019-05-23,3961.24,3961.48,3916.22,3922.57,32176771,158415415423,42557598240405
2019-05-24,3883.31,3922.38,3872.75,3909.36,26777241,162364096022,42414137722675
2019-05-27,3913.62,3953.4,3892.37,3952.81,23573201,125044682982,42885504849540
2019-05-28,3954.06,3977.65,3947.03,3958.36,18979465,194394432562,42945459643240
2019-05-29,3967.64,3970.55,3922.86,3950.68,24499406,149593617623,42861982678065
2019-05-30,3929.57,3987.67,3929.57,3986.77,43017466,174375418085,43254579348270
2019-05-31,3956.16,3987.05,3947.16,3969.08,15733305,131497145458,43063093756540
2019-06-03,3951.07,4048.27,3941.4,4041.13,14170725,129002491727,43843672571825
2019-06-04,4034.56,4073.73,4017.17,4025.5,53449080,270538203395,43673781702750
2019-06-05,4052.05,4060.89,3993.64,4003.44,71669271,217343022583,43434712239340
2019-06-07,4002.76,4004.52,3947.68,3970.14,44522419,291138529110,43073996841585
2019-06-10,3998.46,4027.67,3977.43,4027.67,30457646,157032773380,43697605457585
2019-06-11,4035.32,4086.61,4030.85,4083.03,20210524,158874239527,44298147477430
2019-06-12,4097.87,4157.3,4089.47,4110.99,20119483,179616893631,44600790853940
2019-06-13,4098.57,4123.27,4066.15,4099.88,17146583,173065764977,44480576700265
2019-06-14,4102.17,4106.4,4074.78,4090.08,43523440,228769207290,44374062319330
2019-06-17,4079.38,4085.68,4040.71,4053.24,24613213,160472993189,43974571192905
2019-06-18,4053.01,4089.03,4050.1,4083.66,49025854,296062530179,44303850860110
2019-06-19,4121.32,4147.5,4105.13,4117.33,42905864,273598032657,44668720151240
2019-06-20,4122.42,4131.23,4108.87,4124.78,63268028,203979307220,44749923313390
2019-06-21,4127.15,4150.83,4120.65,4144.99,41428925,319052035679,44968843099095
2019-06-24,4174.82,4191.04,4147.89,4155.4,53237892,207533426169,45081751064080
2019-06-25,4170.04,4190.45,4138.38,4164.23,45434819,206078904826,45177163707025
2019-06-26,4141.19,4156.04,4126.68,4150.68,38242887,257783968101,45030753539145
2019-06-27,4135.14,4165.25,4116.31,4147.08,26426950,206568946014,44990838208910
2019-06-28,4139.29,4155.52,4120.0,4145.27,16799153,141514326949,44971167138665
2019-07-01,4200.37,4209.93,4160.67,4181.83,17024123,332126604701,45366912914710
2019-07-02,4165.25,4165.25,4126.3,4140.84,16959017,137782963880,44922448210310
2019-07-03,4133.25,4157.47,4100.88,4108.46,18675888,128510760780,44570522613305
2019-07-04,4105.43,4137.56,4086.25,4132.15,11768140,82324706707,44826826820645
2019-07-05,4144.29,4166.99,4115.69,4129.14,13987917,92118693855,44794073671735
2019-07-08,4096.11,4102.72,4042.35,4042.58,18282579,117514972116,43854514972830
2019-07-09,4050.31,4062.87,3994.65,4001.65,12480568,101180173611,43410721489355
2019-07-10,4014.06,4030.48,3972.17,3992.04,8494733,104301549141,43308706865775
2019-07-11,3992.09,4035.09,3990.49,3990.49,9047111,135126055988,43291157214005
