날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2019-01-02,3947.06,3959.35,3850.45,3876.79,61865628,177699413676,25843491048067
2019-01-03,3902.21,3935.05,3880.96,3927.42,90827233,260313676362,26177094898644
2019-01-04,3938.59,4085.72,3919.93,4067.25,44765221,181951563253,27459263100742
2019-01-07,4088.1,4094.47,4065.87,4075.06,56660275,171433867597,27511655893640
2019-01-08,4104.31,4107.86,4061.27,4080.82,26573019,117316045236,27549583801812
2019-01-09,4078.82,4160.46,4072.22,4091.81,18892802,93498325783,27625594101684
2019-01-10,4075.51,4088.98,4032.73,4035.41,19011463,90180969983,27248101892622
2019-01-11,4046.69,4078.57,4033.78,4065.37,21756984,98697281632,27448913398299
2019-01-14,4054.31,4127.55,4054.31,4088.67,28878667,112985412115,27604438704476
2019-01-15,4100.28,4109.65,4052.29,4052.29,13643346,70642286614,27363611059124
2019-01-16,4059.17,4067.54,4024.11,4031.65,18924970,78501345322,27223407587147
2019-01-17,4041.68,4050.43,4021.92,4031.16,10658167,64932804141,27219208787489
2019-01-18,4037.0,4063.37,4030.57,4061.01,11319826,61283162225,27421888801301
2019-01-21,4062.45,4067.41,4020.95,4042.32,10467056,61956736338,27298188180291
2019-01-22,4035.75,4056.28,4031.24,4047.7,18441044,71363796770,27333491698493
2019-01-23,4056.69,4089.08,4051.67,4084.16,22018594,86524739182,27578704757050
2019-01-24,4058.39,4058.39,4005.25,4023.75,13090298,112263562447,27173363143267
2019-01-25,4014.23,4036.36,3999.88,4012.54,15851622,86032988563,27100693068216
2019-01-28,4013.92,4013.92,3978.28,3993.0,8935452,76378838663,26968809762881
2019-01-29,4000.47,4005.14,3981.45,4000.38,18042402,73479970557,27016409776172
2019-01-30,4001.35,4003.5,3942.11,3980.88,36976749,138596532651,26886496637858
2019-01-31,4009.73,4049.08,3976.28,4047.11,44648340,172280972597,27334046424300
2019-02-01,4052.53,4056.35,4019.32,4024.79,18266802,87055020811,27182851273009
2019-02-07,4029.46,4040.11,4000.64,4027.29,10040209,64375144695,27200625120596
2019-02-08,4040.26,4058.22,4015.54,4051.6,13033504,92321841883,27362849118090
2019-02-11,4069.03,4076.81,4043.53,4049.42,17875802,79940742577,27348333798990
2019-02-12,4059.02,4064.87,4010.83,4010.83,14756863,76404535654,27089132176046
2019-02-13,4017.65,4041.9,4012.2,4030.4,24728738,95063955274,27219152445074
2019-02-14,4016.73,4099.64,3998.95,4099.64,125838190,114893289877,27683324848803
2019-02-15,4066.79,4080.92,4045.35,4065.43,22363244,83224871769,27456637661878
2019-02-18,4073.1,4082.82,4052.39,4068.94,13637022,61093985591,27481747100875
2019-02-19,4072.82,4076.89,4045.51,4052.87,20706297,76850756111,27375085005860
2019-02-20,4055.01,4077.31,4039.33,4072.72,12168044,71521527540,27509417251339
2019-02-21,4059.32,4078.79,4054.04,4055.34,54948310,124559625750,27394268470175
2019-02-22,4067.17,4079.37,4058.1,4063.61,42865168,127243320653,27450143057996
2019-02-25,4083.51,4092.49,4060.32,4079.04,43750499,128178637641,27552872495641
2019-02-26,4076.49,4084.08,4050.76,4058.08,24743299,91596319344,27412955923051
2019-02-27,4068.19,4069.72,4025.03,4060.83,33144192,129894411204,27432395306825
2019-02-28,4065.25,4074.33,4014.01,4014.01,28562232,117391657658,27119888736940
2019-03-04,4027.1,4072.27,4025.37,4050.95,20272284,97072340174,27366806624393
2019-03-05,4038.8,4059.87,4029.08,4059.87,23057378,92482956811,27425015042934
2019-03-06,4053.88,4071.85,4040.38,4054.46,13462679,90961961033,27391523446261
2019-03-07,4065.7,4065.87,4007.62,4030.59,10918786,84579583838,27231884526038
2019-03-08,4013.49,4023.96,3981.09,3987.25,11017025,72997804313,26943210374815
2019-03-11,3998.11,4071.27,3998.11,4071.27,10457019,112724143553,27511299128130
2019-03-12,4083.32,4089.99,4062.03,4076.45,8615599,72538101455,27548771308488
2019-03-13,4074.37,4102.21,4061.29,4090.2,7937349,70431435585,27643528653615
2019-03-14,4103.19,4115.91,4074.31,4109.9,19526545,96387487854,27777000104793
2019-03-15,4091.36,4127.12,4081.24,4117.75,11552361,130543323185,27828940937862
2019-03-18,4129.39,4147.73,4119.27,4142.02,7302768,78138961737,27994326032643
2019-03-19,4154.9,4154.9,4120.96,4125.89,61692094,182714679445,27886118908289
2019-03-20,4125.5,4131.83,4073.81,4102.95,23637301,86855116982,27733581932276
2019-03-21,4084.48,4101.05,4021.69,4030.91,17218456,95444839336,27251302158502
2019-03-22,4026.73,4039.61,4008.37,4017.09,22393775,91688754538,27156342277567
2019-03-25,4001.58,4010.48,3974.84,3978.3,11095556,58500934443,26894779449458
2019-03-26,3986.89,4049.83,3983.77,4034.68,9065991,71038791937,27273939123060
2019-03-27,4053.81,4064.99,4038.2,4061.99,8331363,62239215482,27454880227864
2019-03-28,4047.35,4047.58,4007.75,4010.91,7530559,57342652093,27109626100719
2019-03-29,4035.7,4062.67,4034.7,4050.36,12236287,97958795410,27373930836233
2019-04-01,4059.81,4093.67,4045.21,4051.3,14875089,85889148992,27382920759195
2019-04-02,4054.38,4058.31,4011.07,4026.21,12539779,80563410142,27215978858290
2019-04-03,4012.11,4015.74,3992.84,4015.74,37471522,128346266414,27145232648504
2019-04-04,4009.91,4020.81,3994.76,4010.75,21644703,75733919115,27112300602300
2019-04-05,4016.12,4017.05,3972.35,3980.76,14834388,62289080079,26912030285171
2019-04-08,4001.9,4021.48,3996.53,4013.28,12781575,74971679985,27128446289756
2019-04-09,4012.89,4047.92,3997.05,4031.81,9143702,86189044762,27254465126995
2019-04-10,4031.24,4060.87,4029.44,4054.61,32178995,93768568047,27408441482729
2019-04-11,4060.69,4065.38,4027.96,4048.03,22024697,94666413132,27363075605183
2019-04-12,4046.35,4048.21,4026.61,4032.67,30479285,145857847751,27261299662821
2019-04-15,4027.38,4043.51,4017.18,4035.79,15245423,100579987900,27288120968574
2019-04-16,4028.73,4028.73,4004.07,4015.68,30191754,127430125688,27158905026636
2019-04-17,4014.38,4014.56,3992.23,4002.57,116030316,221244987589,27083039707904
2019-04-18,4003.77,4003.77,3954.72,3962.93,122427419,252555995541,26808631087120
2019-04-19,3974.88,3982.42,3935.06,3943.36,217010370,376214346439,26678530598390
2019-04-22,3954.01,3972.23,3941.42,3970.38,176129520,375411202353,26863645958470
2019-04-23,3966.99,3995.28,3960.08,3987.2,99807993,393521148739,26978654910310
2019-04-24,3999.25,4018.08,3980.95,4003.96,71723714,335775376565,27094458254105
2019-04-25,4003.41,4006.35,3966.33,3970.09,42022562,162635648812,26858122523060
2019-04-26,3967.33,3993.28,3955.71,3979.24,56500038,165855200794,26917352403070
2019-04-29,3979.41,4010.74,3972.14,4010.74,38702411,121500873812,27123674202410
2019-04-30,4012.81,4014.15,3971.15,3991.86,42310748,124659106175,27001745664705
2019-05-02,3968.9,3991.35,3965.28,3974.47,33962846,104495462205,27372052239970
2019-05-03,3977.8,3977.8,3937.43,3958.42,62623477,213517035386,27263344575520
2019-05-07,3908.64,3963.05,3900.54,3961.14,88458279,280965117411,27280135440745
2019-05-08,3930.03,3982.43,3918.89,3968.1,87860860,280769966078,27324331601010
2019-05-09,3960.82,3962.08,3860.3,3860.3,74669315,326520601164,26589116847770
2019-05-10,3889.59,3913.38,3842.52,3867.69,45730172,247211297120,26638681307425
2019-05-13,3848.75,3858.42,3828.57,3832.83,46443825,173621421530,26412003234220
2019-05-14,3809.04,3831.94,3795.22,3815.99,44245665,170003097020,26293707542115
2019-05-15,3813.31,3841.03,3790.14,3837.4,97112765,232297538412,26434988962680
2019-05-16,3832.44,3833.42,3780.11,3794.26,120996112,305259105967,26143123110765
2019-05-17,3802.2,3805.36,3727.8,3727.88,42610485,170449891712,25689947493400
2019-05-20,3745.01,3763.64,3718.22,3726.55,119870556,266496575217,25679125223885
2019-05-21,3729.45,3740.19,3703.87,3733.3,34595458,108992497681,25726407609480
2019-05-22,3733.32,3735.66,3691.02,3692.88,51240711,125823329242,25450593083920
2019-05-23,3705.37,3739.62,3684.76,3734.45,35771432,116171907077,25733217530400
2019-05-24,3723.34,3740.26,3691.61,3700.25,47717279,145760204662,25498992855025
2019-05-27,3702.73,3704.02,3649.4,3665.55,29697472,95480296278,25259061448755
2019-05-28,3685.12,3717.21,3674.03,3713.88,15751368,102623767002,25591316099820
2019-05-29,3724.61,3724.61,3655.74,3669.48,27152219,96183387430,25286911544620
2019-05-30,3659.83,3676.78,3623.24,3638.68,35323913,125156347015,25079560062160
2019-05-31,3636.21,3652.74,3618.45,3645.13,111788952,263687691595,25129617749025
2019-06-03,3638.41,3667.84,3633.62,3659.7,64741438,172315859818,25228297368290
2019-06-04,3661.53,3683.94,3641.49,3655.48,34711883,100119080166,25201359968265
2019-06-05,3667.41,3668.05,3623.54,3632.24,39494607,172011740296,25043357458860
2019-06-07,3654.74,3666.43,3630.29,3637.26,20030688,86351285253,25077645018405
2019-06-10,3663.18,3696.92,3645.89,3690.74,23842540,90795037868,25445057349695
2019-06-11,3689.39,3708.63,3678.95,3701.69,37187891,125089861482,25517831636065
2019-06-12,3711.06,3717.36,3697.88,3710.25,103831621,236814941540,25576219380175
2019-06-13,3708.25,3768.99,3700.69,3759.32,39902148,179296030629,25913326483470
2019-06-14,3750.51,3792.08,3736.4,3789.23,24948818,140564794652,26117832155295
2019-06-17,3791.19,3792.02,3757.73,3762.52,19443837,88759948579,25935388943050
2019-06-18,3765.26,3789.39,3744.11,3783.77,15846632,96066402414,26081817239450
2019-06-19,3788.84,3807.43,3780.52,3786.04,30551260,95410629866,26097277812685
2019-06-20,3792.04,3799.38,3784.95,3791.35,19032931,76486580244,26133086632155
2019-06-21,3791.43,3799.41,3773.69,3789.75,66789926,241826955339,26123362955710
2019-06-24,3798.47,3798.47,3771.03,3772.79,21846971,103505657397,26008299095515
2019-06-25,3778.41,3791.29,3769.44,3784.54,17312800,89770426055,26087835821560
2019-06-26,3766.13,3780.63,3755.72,3761.39,16247581,75787253355,25937898140505
2019-06-27,3751.18,3770.49,3740.31,3760.23,25768132,106514796298,25930330322945
2019-06-28,3755.08,3766.54,3733.55,3740.9,13328232,65401120744,25798812090405
2019-07-01,3769.2,3772.82,3726.73,3744.86,14727821,59703518667,25825504354065
2019-07-02,3739.96,3755.55,3728.7,3731.92,68943612,207105281602,25737554299085
2019-07-03,3745.81,3750.63,3691.77,3706.75,29726512,81099699051,25563677794390
2019-07-04,3722.05,3722.6,3679.1,3711.96,19881497,67231602815,25598334395307
2019-07-05,3725.61,3741.77,3694.79,3735.43,17505033,67623028243,25759014367310
2019-07-08,3732.87,3743.13,3657.1,3659.98,17930660,74444769848,25243114288485
2019-07-09,3654.53,3660.4,3614.29,3614.29,14500104,60368891207,24925689620416
