날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2019-01-02,488.3,490.52,482.69,485.31,2935667,91801524355,33130162885615
2019-01-03,486.95,491.89,484.13,485.62,4797359,165551258835,33102261543215
2019-01-04,483.31,495.46,480.41,493.28,4208928,151803185880,33621639606705
2019-01-07,493.44,496.62,491.04,493.98,4711615,139220835010,33746261979540
2019-01-08,497.12,498.54,494.16,495.65,3003917,95188488320,33845007716705
2019-01-09,496.1,504.36,495.86,502.0,4798652,121097399660,34355121082875
2019-01-10,500.24,503.95,498.38,502.11,3323808,105960430005,34347458530210
2019-01-11,503.74,504.73,498.38,502.65,3022082,100768145150,34418978802990
2019-01-14,502.06,504.52,500.06,502.13,2775615,85697975220,34404629537845
2019-01-15,503.23,510.61,502.63,508.2,3425097,122474147790,34812116349745
2019-01-16,507.27,515.35,507.17,512.2,3861877,144146957955,35089530228805
2019-01-17,514.12,515.76,511.39,513.32,4211104,146611270890,35145104536055
2019-01-18,516.26,517.31,511.95,516.38,4203652,150284972910,35430719446555
2019-01-21,519.16,522.06,515.34,517.29,4306630,116925663240,35463931143785
2019-01-22,518.28,518.69,511.12,513.44,2717063,90843230680,35167375189565
2019-01-23,512.06,518.48,511.74,518.18,3043999,98855424725,35457697310770
2019-01-24,513.47,518.18,511.59,514.4,3937753,116938491990,35228627660085
2019-01-25,511.54,516.16,509.6,510.85,4536298,148723059750,34984902311020
2019-01-28,510.87,513.56,508.05,509.89,3340186,106602503155,34933116862300
2019-01-29,511.02,511.67,506.0,508.79,3602039,111804779345,34828195685750
2019-01-30,509.44,516.39,508.09,515.87,4410346,138669362100,35289882838700
2019-01-31,520.29,520.63,510.7,515.67,4249740,126325968370,35312029578975
2019-02-01,515.7,516.76,509.11,509.87,4781646,111447392660,34891684878360
2019-02-07,511.54,512.0,505.67,507.39,5601432,114072756725,34678546756110
2019-02-08,508.93,510.28,503.23,508.21,3958573,110747464885,34776093222685
2019-02-11,510.47,512.43,505.48,510.92,4135084,128149712715,34948922745380
2019-02-12,511.75,513.2,507.24,507.95,3331515,101293427505,34749770903225
2019-02-13,509.6,512.06,508.21,509.58,4379188,137675788375,34804841728300
2019-02-14,508.5,517.47,507.88,517.47,6345940,219730467760,35186613998645
2019-02-15,515.16,516.43,510.29,513.18,3602196,119114800730,34898049150260
2019-02-18,514.82,518.54,513.65,517.95,4512704,142255712285,35211337574695
2019-02-19,517.58,521.73,514.85,519.83,3196220,117335572145,35384331242945
2019-02-20,522.25,529.27,521.89,525.4,4294700,159647319270,35773097801220
2019-02-21,526.53,527.89,520.76,526.12,3996970,122603223990,35833412091745
