날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2019-01-02,1885.65,1887.61,1838.14,1843.73,14173131,722904140340,346684860806780
2019-01-03,1832.1,1832.1,1793.09,1795.77,22288018,1129564344360,336621283896500
2019-01-04,1794.75,1803.58,1753.52,1794.47,24545284,1221559199547,336031422074510
2019-01-07,1825.5,1854.65,1821.6,1847.15,20947352,1030497567510,346178400219630
2019-01-08,1830.02,1853.95,1828.54,1832.95,22305519,1039940555012,341913421456370
2019-01-09,1845.01,1912.35,1844.54,1906.54,29017510,1450879747580,356144434293040
2019-01-10,1911.66,1932.19,1906.35,1925.46,27755329,1361977808872,358920613426950
2019-01-11,1935.08,1956.69,1930.72,1949.43,21576551,1033498172081,364226420218240
2019-01-14,1936.76,1941.57,1916.6,1922.46,20004180,993682810400,359097234219180
2019-01-15,1927.8,1962.98,1920.81,1961.62,18643224,945134080774,367836798224360
2019-01-16,1964.83,1981.61,1955.56,1980.57,16142969,836603999790,371223762316800
2019-01-17,1982.37,1992.22,1963.62,1965.87,20053975,1044431689980,373125867974670
2019-01-18,1979.22,1986.13,1964.99,1976.55,17891496,927016746822,375590691458380
2019-01-21,1989.25,2005.26,1973.39,2004.34,22464592,1139628505560,380514220684650
2019-01-22,2005.31,2013.86,1963.4,1974.04,20142584,1024898970780,375438036110250
2019-01-23,1959.14,1994.29,1955.97,1983.58,18634650,964630345526,375316724695350
2019-01-24,1994.98,2009.71,1974.85,2008.67,26648458,1488865882010,383821618770800
2019-01-25,2023.76,2099.55,2022.03,2099.05,41794028,2353660697736,399931854692350
2019-01-28,2099.56,2099.66,2061.46,2075.45,30046440,1726580589786,399212270984850
2019-01-29,2071.35,2098.29,2045.28,2098.08,28526688,1649918922347,403574823012050
2019-01-30,2097.88,2122.9,2084.75,2115.86,34514925,1832825678137,410459245609200
2019-01-31,2140.53,2140.53,2084.36,2084.36,35943357,1902408462607,406653570140050
2019-02-01,2100.28,2120.64,2097.19,2103.44,24052116,1366019378219,409555333903000
2019-02-07,2129.5,2147.34,2114.57,2127.45,26557389,1544944451166,410365442325950
2019-02-08,2104.59,2112.08,2073.99,2080.26,21549864,1236574568700,398802501003250
2019-02-11,2077.56,2098.0,2064.17,2096.79,20793940,1185774479334,401032536507200
2019-02-12,2103.83,2146.17,2100.54,2136.27,25338572,1570328174020,409650358160550
2019-02-13,2154.36,2168.71,2141.55,2146.91,20263024,1223018606119,411250829921400
2019-02-14,2142.71,2178.47,2129.25,2178.47,26477330,1402662559186,420774154679000
2019-02-15,2160.43,2160.43,2112.59,2124.8,19864246,1172615534690,408365686745500
2019-02-18,2145.0,2157.57,2136.53,2157.38,15722945,887761994350,411433934322850
2019-02-19,2151.22,2163.41,2126.24,2145.27,12173166,746696237100,408860591970500
2019-02-20,2157.34,2179.12,2153.95,2174.71,19230224,1125220154927,416717397969850
2019-02-21,2166.02,2178.62,2143.94,2168.85,21280471,1201145421650,417006708512700
2019-02-22,2157.48,2167.84,2139.24,2167.78,14510950,856942361550,417986974067350
2019-02-25,2184.11,2184.87,2150.42,2163.45,15386317,918724583750,418267965460950
2019-02-26,2161.38,2169.81,2136.67,2148.25,14299355,820441924800,414096998026850
2019-02-27,2150.72,2167.26,2144.61,2151.89,16365811,983915521674,413777778219550
2019-02-28,2145.93,2147.3,2097.3,2097.84,39500258,2142737664128,400222779756250
2019-03-04,2120.19,2129.73,2088.54,2093.57,23883455,1336538031041,398538520664850
2019-03-05,2073.24,2081.46,2061.55,2071.15,19963800,1151227726700,394033645292350
2019-03-06,2065.87,2076.88,2057.55,2073.87,21884553,1189955581621,392239555755200
2019-03-07,2067.56,2089.96,2050.26,2061.46,20960237,1183122483129,393867065633640
2019-03-08,2048.74,2057.41,2023.43,2028.54,16971272,946779774278,387795802967100
2019-03-11,2037.09,2041.38,2013.5,2029.56,17689497,944110887175,387048047115780
2019-03-12,2057.72,2064.45,2044.91,2048.64,19175681,1010793940134,394167142393050
2019-03-13,2043.71,2049.91,2021.66,2043.86,16068693,878879428685,389217589889550
2019-03-14,2045.51,2049.72,2030.01,2045.36,26955541,1457311179630,389608798839450
2019-03-15,2040.92,2065.23,2040.26,2054.65,26023834,1417017921300,392426098329500
2019-03-18,2058.65,2060.96,2038.7,2051.16,14549463,810330575980,389530726936520
2019-03-19,2050.36,2056.54,2033.86,2046.09,13694788,786540455560,390420956095420
2019-03-20,2041.08,2061.19,2021.29,2059.56,17502928,976979737300,392947276304490
2019-03-21,2096.8,2131.96,2095.41,2122.46,40728342,2444525972592,408424245188030
2019-03-22,2143.35,2150.43,2119.12,2132.59,23859234,1410836480716,412930981256300
2019-03-25,2090.11,2093.82,2061.4,2065.59,16743973,979448791090,401891007029720
2019-03-26,2074.24,2078.72,2057.27,2070.33,16616876,944802660595,400910285515520
2019-03-27,2063.64,2094.31,2047.45,2088.25,17488247,1017638409560,402743812376740
2019-03-28,2069.97,2090.14,2062.07,2070.02,14994703,893484556110,398610157486970
2019-03-29,2086.83,2103.87,2069.5,2096.45,20044484,1136271058950,399739132805280
2019-04-01,2117.07,2135.94,2117.07,2127.42,15378562,940322051910,404546121856960
2019-04-02,2143.46,2147.92,2124.69,2130.26,16461134,937100173885,408394228387730
2019-04-03,2135.55,2174.92,2130.14,2174.92,23517747,1380522184619,416978488727920
2019-04-04,2180.06,2195.71,2156.39,2171.15,24763770,1552586577053,418082293369830
2019-04-05,2165.57,2182.01,2155.97,2169.47,15682494,914329028780,417625710545660
2019-04-08,2177.43,2177.43,2147.91,2158.05,15824391,921113271390,415492260893370
2019-04-09,2167.16,2186.57,2156.33,2176.6,16701681,922000257000,416562967657900
2019-04-10,2164.38,2189.63,2156.08,2186.16,19939294,1080877961811,417767615411330
2019-04-11,2193.41,2199.66,2183.17,2192.98,22749366,1289810441510,415582269483880
2019-04-12,2181.47,2199.18,2175.04,2189.27,16292444,955222881770,418335586438800
2019-04-15,2201.97,2206.44,2188.04,2197.74,15004243,848264186580,420536873674250
2019-04-16,2191.59,2208.91,2189.66,2206.55,14665571,814947817389,422412798375370
2019-04-17,2211.97,2229.61,2206.65,2210.69,15090032,1036479935370,421425951261900
2019-04-18,2221.16,2226.39,2168.35,2171.53,21655930,1247536357360,410847444269730
2019-04-19,2190.4,2200.41,2175.87,2178.1,16533562,879376752460,410358357427730
2019-04-22,2178.85,2196.26,2159.24,2174.36,11661435,671259062920,409848725300810
2019-04-23,2173.54,2182.82,2163.17,2170.98,13316974,741248673255,409044151551560
2019-04-24,2179.86,2180.38,2115.53,2132.51,26367897,1445084256738,403337131400470
2019-04-25,2123.71,2164.22,2121.73,2151.88,24743919,1321223821108,404602871653130
2019-04-26,2130.92,2146.21,2114.49,2130.69,21720017,1219388330969,403850721082010
2019-04-29,2129.0,2162.36,2127.83,2162.36,18842415,994903842750,413217313534100
2019-04-30,2159.39,2166.93,2128.67,2155.94,20052306,1107616774580,410680780856900
2019-05-02,2149.32,2186.58,2147.17,2181.05,17661784,989960777696,413302619625000
2019-05-03,2172.6,2180.25,2157.9,2159.31,14592146,825808297300,408555182494300
2019-05-07,2127.85,2141.08,2116.83,2135.98,21706598,1116306090750,404346998448650
2019-05-08,2103.96,2141.58,2102.16,2130.76,17943763,937697875118,400935342987850
2019-05-09,2114.56,2119.87,2031.18,2031.18,38079861,1973021880091,383505681469500
2019-05-10,2043.56,2060.57,2001.04,2025.34,26949959,1435516091776,385099923864050
2019-05-13,1999.45,2028.58,1990.23,1996.7,15528649,835601488330,381657113770340
2019-05-14,1972.93,2018.07,1961.52,2002.71,20851486,1103012073480,382519216979600
2019-05-15,2009.66,2033.86,2000.94,2027.43,14417565,742795818350,383397565641550
