,corp_name,corp_ticker
0,AJ네트웍스,095570
1,SK렌터카,068400
2,AK홀딩스,006840
3,BGF,027410
4,BGF리테일,282330
5,BNK금융지주,138930
6,BYC,001460
7,BYC우,001465
8,CJ,001040
9,CJ CGV,079160
10,CJ4우(전환),00104K
11,CJ대한통운,000120
12,CJ씨푸드,011150
13,CJ씨푸드1우,011155
14,CJ우,001045
15,CJ제일제당,097950
16,CJ제일제당 우,097955
17,LG헬로비전,037560
18,CS홀딩스,000590
19,DB,012030
20,DB금융투자,016610
21,DB손해보험,005830
22,DB하이텍,000990
23,DB하이텍1우,000995
24,DGB금융지주,139130
25,DI동일,001530
26,DRB동일,004840
27,DSR,155660
28,DSR제강,069730
29,E1,017940
30,F&F홀딩스,007700
31,GKL,114090
32,GS,078930
33,GS건설,006360
34,GS글로벌,001250
35,GS리테일,007070
36,GS우,078935
37,HDC,012630
38,HDC랩스,039570
39,HDC현대EP,089470
40,HDC현대산업개발,294870
41,한화엔진,082740
42,IHQ,003560
43,JB금융지주,175330
44,JW생명과학,234080
45,JW중외제약,001060
46,JW중외제약2우B,001067
47,JW중외제약우,001065
48,JW홀딩스,096760
49,KB금융,105560
50,KCC,002380
51,KCTC,009070
52,KC그린홀딩스,009440
53,KC코트렐,119650
54,KEC,092220
55,KG케미칼,001390
56,KISCO홀딩스,001940
57,KPX케미칼,025000
58,KPX홀딩스,092230
59,KR모터스,000040
60,KSS해운,044450
61,KT,030200
62,KT&G,033780
63,다올투자증권,030210
64,KTcs,058850
65,KTis,058860
66,LF,093050
67,LG,003550
68,LG디스플레이,034220
69,LX인터내셔널,001120
70,LG생활건강,051900
71,LG생활건강우,051905
72,LG우,003555
73,LG유플러스,032640
74,LG이노텍,011070
75,LG전자,066570
76,LG전자우,066575
77,LX하우시스,108670
78,LX하우시스우,108675
79,LG화학,051910
80,LG화학우,051915
81,LIG넥스원,079550
82,LS,006260
83,LS네트웍스,000680
84,LS ELECTRIC,010120
85,LS에코에너지,229640
86,MH에탄올,023150
87,NAVER,035420
88,NHN,181710
89,NH투자증권,005940
90,NH투자증권우,005945
91,NH프라임리츠,338100
92,NICE,034310
93,NI스틸,008260
94,NPC,004250
95,NPC우,004255
96,OCI홀딩스,010060
97,POSCO홀딩스,005490
98,SNT에너지,100840
99,SNT모티브,064960
100,SNT다이내믹스,003570
101,SNT홀딩스,036530
102,S-Oil,010950
103,S-Oil우,010955
104,SBS,034120
105,SBS미디어홀딩스,101060
106,SG세계물산,004060
107,SG글로벌,001380
108,SH에너지화학,002360
109,SIMPAC,009160
110,SJM,123700
111,SJM홀딩스,025530
112,SK,034730
113,SKC,011790
114,SK가스,018670
115,SK네트웍스,001740
116,SK네트웍스우,001745
117,SK디스커버리,006120
118,SK디스커버리우,006125
119,SK디앤디,210980
120,SK우,03473K
121,SK이노베이션,096770
122,SK이노베이션우,096775
123,SK증권,001510
124,SK증권우,001515
125,SK케미칼,285130
126,SK케미칼우,28513K
127,SK텔레콤,017670
128,SK하이닉스,000660
129,SPC삼립,005610
130,STX,011810
131,STX엔진,077970
132,HD현대마린엔진,071970
133,TBH글로벌,084870
134,TCC스틸,002710
135,WISCOM,024070
136,YG PLUS,037270
137,가온전선,000500
138,강남제비스코,000860
139,강원랜드,035250
140,갤럭시아에스엠,011420
141,경농,002100
142,경동나비엔,009450
143,경동도시가스,267290
144,경동인베스트,012320
145,경방,000050
146,경보제약,214390
147,경인양행,012610
148,경인전자,009140
149,계룡건설,013580
150,계양전기,012200
151,계양전기우,012205
152,고려개발,004200
153,고려산업,002140
154,고려아연,010130
155,고려제강,002240
156,광동제약,009290
157,광명전기,017040
158,광전자,017900
159,광주신세계,037710
160,교보증권,030610
161,국도화학,007690
162,국동,005320
163,국제약품,002720
164,그린케미칼,083420
165,극동유화,014530
166,금강공업,014280
167,금강공업우,014285
168,금비,008870
169,금양,001570
170,금호건설,002990
171,금호건설우,002995
172,금호석유,011780
173,금호석유우,011785
174,금호에이치티,214330
175,금호전기,001210
176,금호타이어,073240
177,기신정기,092440
178,기아,000270
179,기업은행,024110
180,까뮤이앤씨,013700
181,깨끗한나라,004540
182,깨끗한나라우,004545
183,이엔플러스,074610
184,남광토건,001260
185,남선알미늄,008350
186,남선알미우,008355
187,남성,004270
188,남양유업,003920
189,남양유업우,003925
190,비비안,002070
191,남해화학,025860
192,넥센,005720
193,넥센우,005725
194,넥센타이어,002350
195,넥센타이어1우B,002355
196,HLB글로벌,003580
197,넷마블,251270
198,노루페인트,090350
199,노루페인트우,090355
200,노루홀딩스,000320
201,노루홀딩스우,000325
202,녹십자,006280
203,녹십자홀딩스,005250
204,녹십자홀딩스2우,005257
205,농심,004370
206,농심홀딩스,072710
207,다스코,058730
208,다우기술,023590
209,대교,019680
210,대교우B,019685
211,대구백화점,006370
212,대덕,008060
213,대덕1우,00806K
214,대동,000490
215,대동전자,008110
216,대림B&Co,005750
217,DL,000210
218,DL우,000215
219,삼일씨엔에스,004440
220,대림통상,006570
221,대상,001680
222,대상우,001685
223,대상홀딩스,084690
224,대상홀딩스우,084695
225,대성산업,128820
226,대성에너지,117580
227,대성홀딩스,016710
228,대신증권,003540
229,대신증권2우B,003547
230,대신증권우,003545
231,대양금속,009190
232,대영포장,014160
233,대우건설,047040
234,아진전자부품,009320
235,한화오션,042660
236,대웅,003090
237,대웅제약,069620
238,대원강업,000430
239,대원전선,006340
240,대원전선우,006345
241,대원제약,003220
242,대원화성,024890
243,대유에이텍,002880
244,대유플러스,000300
245,대창,012800
246,대창단조,015230
247,대한방직,001070
248,대한유화,006650
249,대한전선,001440
250,대한제강,084010
251,대한제당,001790
252,대한제당3우B,001799
253,대한제당우,001795
254,대한제분,001130
255,대한항공,003490
256,대한항공우,003495
257,대한해운,005880
258,대한화섬,003830
259,대현,016090
260,대호에이엘,069460
261,더블유게임즈,192080
262,더존비즈온,012510
263,덕성,004830
264,덕성우,004835
265,덕양산업,024900
266,덴티움,145720
267,도화엔지니어링,002150
268,동국홀딩스,001230
269,동남합성,023450
270,동방,004140
271,동방아그로,007590
272,동부건설,005960
273,동부건설우,005965
274,KG스틸,016380
275,KG스틸우,016385
276,동북아12호,083370
277,동북아13호,083380
278,동서,026960
279,동성제약,002210
280,동성케미컬,102260
281,동성화학,005190
282,동아쏘시오홀딩스,000640
283,동아에스티,170900
284,동아지질,028100
285,동아타이어,282690
286,동양,001520
287,동양2우B,001527
288,동양3우B,001529
289,동양고속,084670
290,비케이탑스,030790
291,TYM,002900
292,동양생명,082640
293,동양우,001525
294,동양철관,008970
295,동양피스톤,092780
296,동원F&B,049770
297,동원금속,018500
298,동원산업,006040
299,동원수산,030720
300,동원시스템즈,014820
301,동원시스템즈우,014825
302,동일고무벨트,163560
303,동일산업,004890
304,동일제강,002690
305,동화약품,000020
306,두산,000150
307,두산2우B,000157
308,두산건설,011160
309,두산밥캣,241560
310,솔루스첨단소재,336370
311,솔루스첨단소재1우,33637K
312,솔루스첨단소재2우B,33637L
313,두산우,000155
314,HD현대인프라코어,042670
315,두산에너빌리티,034020
316,두산퓨얼셀,336260
317,두산퓨얼셀1우,33626K
318,두산퓨얼셀2우B,33626L
319,두올,016740
320,드림텍,192650
321,디씨엠,024090
322,디아이,003160
323,디아이씨,092200
324,디와이,013570
325,디와이파워,210540
326,DN오토모티브,007340
327,스틱인베스트먼트,026890
328,락앤락,115390
329,롯데관광개발,032350
330,롯데리츠,330590
331,롯데손해보험,000400
332,롯데쇼핑,023530
333,롯데정밀화학,004000
334,롯데이노베이트,286940
335,롯데웰푸드,280360
336,롯데지주,004990
337,롯데지주우,00499K
338,롯데칠성,005300
339,롯데칠성우,005305
