시가,고가,저가,종가,거래량,거래대금,상장시가총액
3486.54,3491.3,3440.71,3451.53,13138326,64701746569,23799296187246
3462.36,3477.37,3422.79,3432.8,16475883,68509499481,23669887167780
3413.68,3430.91,3390.26,3392.04,15833031,60146043572,23387435985144
3397.85,3430.83,3393.08,3415.64,9688466,56300553652,23549745321852
3374.21,3387.04,3328.96,3348.33,19965280,78626245173,23084868078446
3361.52,3385.77,3342.89,3364.33,13664720,81919652736,23197995863517
3358.54,3365.02,3337.74,3355.28,10497957,67386389506,23135956923723
3360.59,3422.56,3360.23,3410.07,16945761,67007389719,23511370247816
3431.33,3452.09,3419.18,3451.67,11395484,67282059156,23796719894909
3456.38,3514.37,3440.84,3512.0,30308291,128615303953,24210909794260
3509.83,3531.84,3492.25,3512.6,9927375,64815664704,24216653654020
3509.86,3551.03,3509.86,3531.41,8674390,68712426412,24344687706231
3534.71,3551.35,3494.72,3496.19,11017459,83422363534,24101005206081
3502.08,3515.2,3481.73,3486.48,10817286,62047706647,24035403359713
3493.45,3516.85,3477.5,3501.86,9369727,56624723190,24140901649682
3482.84,3486.87,3463.87,3477.3,5881988,50731600375,23973454412755
3417.01,3427.97,3356.73,3366.48,20939649,118594152164,23207665911656
3382.03,3394.37,3338.22,3375.35,11741190,81061284591,23267204632547
3375.95,3394.62,3324.34,3330.29,10358041,55735380598,22956929918895
3341.51,3361.74,3295.05,3295.05,13902461,81110528873,22716584220724
3274.18,3327.42,3248.37,3319.75,164113753,247901415841,22882629924556
3308.27,3341.3,3296.12,3310.42,40466769,94663614950,22821970874543
3321.45,3342.98,3304.28,3319.99,33566187,124797374844,22887285890050
3364.68,3419.15,3359.84,3401.76,12969734,99863961154,23448522759372
3405.48,3419.03,3363.01,3377.35,34216636,128325381379,23281830243418
3357.66,3382.42,3330.74,3371.69,142367877,213772694683,23244857195274
3412.37,3435.5,3407.15,3428.7,22751520,113189753389,23637332361119
3447.94,3487.7,3435.07,3486.07,20783039,143207860792,24032310688347
3506.57,3527.98,3485.65,3494.45,19918476,160580557697,24094919027086
3492.12,3506.78,3472.6,3487.08,54810761,227910015910,24046271135872
3493.1,3522.48,3474.7,3502.0,22568185,107635129426,24143560143714
3477.15,3477.15,3438.56,3450.55,14597109,75180476331,23790900890752
3471.34,3502.48,3451.88,3495.25,14348359,118119119322,24095867950256
3489.51,3495.38,3435.54,3440.51,59256020,178391952178,23722830242653
3420.88,3445.9,3404.02,3406.47,29203923,132505539395,23488572691927
3414.71,3436.92,3336.78,3338.99,218619381,539423455880,23027452499018
3367.22,3373.25,3319.6,3355.26,1013703172,1033221457660,23137369189387
3354.98,3379.3,3325.03,3344.25,289877454,331006841089,23064398408147
3334.54,3346.52,3281.91,3295.29,55536313,150642099760,22725062190336
3255.34,3259.41,3161.08,3178.68,58093112,248712578356,21919367880270
3196.99,3215.47,3142.51,3191.31,54552388,208930329772,22006484451037
3232.03,3241.51,3185.38,3189.77,80002625,139764145922,21997190007948
3212.86,3294.28,3204.3,3288.72,55111711,134555871284,22676402223758
3294.62,3328.86,3272.68,3327.32,53795578,120016662613,22940663065924
3288.54,3306.39,3269.93,3306.39,68325637,131591627169,22797006977259
3244.17,3276.3,3206.54,3219.75,37955814,113128582737,22197025721003
3191.44,3215.92,3168.53,3212.25,45866972,185701258511,22139722242580
3214.56,3214.56,3127.76,3145.39,109417342,211382637969,21680184621417
3148.98,3158.17,2996.29,3023.03,48435410,194387057836,20835721120047
2843.93,2947.15,2753.24,2892.28,67964620,177418931546,19934585279838
2968.83,3007.02,2893.72,2902.31,57442369,168090680808,19994223444284
2821.57,2952.26,2807.44,2894.56,44142479,122143971658,19938387012218
2904.56,2926.06,2804.64,2804.8,45639194,153590363625,19317309505842
2844.76,2851.01,2507.7,2509.56,63383707,172819666805,17272270132845
2574.76,2686.02,2506.37,2686.02,43070330,131638940178,18487642209869
2535.13,2568.48,2473.15,2507.68,61339643,112962862593,17258608071388
2542.48,2653.45,2524.26,2642.99,57202640,118384507002,18189696046952
2712.46,2797.4,2703.38,2790.75,42502402,153411915497,19205412117628
2786.1,2905.58,2774.95,2826.64,51557714,147993823392,19454285601401
2930.72,2945.14,2810.29,2879.0,60634369,183692212056,19810892180194
2823.96,2955.23,2810.06,2946.59,53258919,137753404027,20275812891881
2997.15,3068.69,2982.98,3050.78,106968207,201634497074,20993593314818
3065.66,3229.78,3065.19,3083.02,406056202,480283114775,21217797182675
3108.35,3167.45,3066.15,3153.41,121430568,357072835472,21698726152295
3158.53,3205.99,3139.63,3205.41,72399454,227803491139,22054925119706
3270.88,3384.81,3270.24,3355.44,227136525,334522325339,23088419268865
3407.77,3423.51,3308.6,3368.4,93040316,290311051452,23181500884470
3373.38,3411.43,3326.18,3350.32,52643783,178470220585,23061910872423
3384.37,3388.69,3268.71,3310.92,108450520,288493720424,22796557489442
3301.44,3301.44,3213.26,3268.61,53914606,183060837442,22509129188906
3260.41,3299.65,3236.7,3265.8,261033529,456434305891,22487686744384
3288.35,3351.35,3280.86,3331.67,72811055,214157855592,22942652700569
3316.65,3357.3,3267.02,3339.38,33977413,135780559247,22994078392936
3355.5,3373.82,3324.52,3331.04,44103989,150103123712,22939421352744
3334.64,3353.86,3308.29,3308.29,42204826,121885794362,22783122922144
3305.33,3312.25,3186.09,3263.68,55986520,139941767125,22475481008599
3231.93,3323.05,3204.9,3319.97,30715955,116539252160,22856706905575
3332.51,3434.74,3325.74,3430.02,44397171,185330760427,23614643811366
3426.56,3535.39,3392.67,3477.11,38479161,233119321983,23941565328296
3516.08,3593.08,3502.68,3565.16,52288058,240258710770,24552426047010
3574.69,3602.62,3522.76,3565.85,70318641,292467680417,24566299810563
3566.17,3597.9,3547.36,3580.69,193246992,383250399944,24663806671681
3532.01,3620.42,3484.9,3573.21,97719377,272284905472,24613795530786
3620.05,3690.49,3600.01,3682.02,267522647,503107322986,25363094536593
3697.48,3738.16,3680.79,3700.73,154155019,235363763329,25491659691375
3722.06,3737.36,3655.84,3671.52,59743409,191819886912,25289475458018
3677.16,3680.97,3647.88,3667.72,36160001,128574567469,25260135578249
3678.0,3747.06,3665.63,3729.66,34698298,190426013736,25685458949660
3707.24,3788.21,3701.38,3788.21,39893251,167414360304,26084763595319
3763.99,3839.56,3740.29,3839.56,27883683,190597927986,26438193019314
3907.79,3963.68,3890.98,3953.32,63709975,446962452823,27217818256998
4008.69,4089.21,3912.54,3919.33,39841308,409803685885,26990370656290
3914.87,3914.87,3810.82,3831.29,26865954,305048673063,26386743344395
3871.51,3911.59,3870.98,3876.7,29972637,213471607756,26698357939513
3876.3,3897.31,3844.59,3889.27,21883411,195498099314,26785908820734
3904.03,3933.06,3857.21,3893.62,30672456,220308929712,26811446216843
3915.23,3951.56,3852.41,3948.01,24233233,159332758936,27181602890283
3949.73,3950.07,3885.52,3894.28,17988793,134354788821,26814061739860
3898.48,3919.72,3885.96,3893.46,16200340,162554107327,26810149659492
3878.42,3886.53,3826.61,3840.96,114390909,697141334459,26448735434124
3848.59,3884.58,3829.5,3829.5,79317511,427336332858,26374129060715
3824.77,3913.64,3821.58,3910.69,42469541,270260911532,26929513181970
3908.25,3940.25,3895.12,3920.18,60076378,255406679761,26995432819797
3932.56,3947.31,3852.57,3876.41,29636866,206372105533,26698805671822
3876.01,3903.24,3842.61,3863.63,24912149,184204362531,26610328387260
3863.46,3884.47,3840.85,3878.59,21108503,124124589440,26714502614631
3903.23,3905.8,3847.12,3862.15,26362629,169507641332,26606483555926
3879.24,3894.68,3844.44,3889.87,27214902,220203963443,26804473357264
3900.79,4004.15,3897.58,4001.29,17928156,255541470187,27575083889828
3978.72,4025.53,3941.53,3969.87,21933647,305667964131,27359527355720
3840.17,4036.69,3817.33,4010.52,26027059,300023167839,27641544077334
3992.51,4100.19,3874.25,3875.58,30000228,414940366329,26716696454609
3987.43,4044.43,3976.83,4033.31,21951042,285806670167,27814980287699
4044.77,4139.35,4040.74,4101.81,41469746,305876889653,28311566469794
4093.32,4106.59,4057.55,4075.84,36812637,296848907286,28160174709708
4108.44,4109.29,4025.36,4067.69,22377457,238830608776,28066418786726
