날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2023-01-02,1090.62,1107.0,1090.62,1094.21,15948864,1354524586700,745087320139400,,,,,,,
2023-01-03,1097.85,1098.37,1073.45,1092.95,20892317,1672922611725,742312242742400,,,,,,,
2023-01-04,1085.65,1118.6,1082.24,1112.61,30609509,2364423496939,762261376783900,,,,,,,
2023-01-05,1121.4,1126.55,1107.63,1110.72,26415822,2268792870295,761706452568600,,,,,,,
2023-01-06,1104.43,1126.41,1102.99,1119.32,26069806,2099975535478,771183101831900,,,,,,,
2023-01-09,1135.57,1163.64,1129.71,1163.02,30740925,2588091668400,797127225265900,,,,,,,
2023-01-10,1162.57,1175.27,1158.08,1162.19,23459173,2221937043156,797129088949700,,,,,,,
2023-01-11,1171.13,1178.46,1165.06,1172.33,20951844,1887746151486,801203168997200,,,,,,,
2023-01-12,1186.24,1187.14,1168.93,1174.64,25148479,2197296545010,802853507717300,,,,,,,
2023-01-13,1181.16,1192.58,1179.44,1181.19,20558022,1809524518200,805964573497600,,,,,,,
2023-01-16,1180.77,1191.86,1177.2,1185.36,17810683,1569071610800,808421611110700,,,,,,,
2023-01-17,1185.56,1186.64,1160.71,1164.09,17964323,1724003996013,797521750261700,,,,,,,
2023-01-18,1165.4,1169.13,1152.39,1159.22,17397388,1515507715801,792451733102800,,,,,,,
2023-01-19,1150.86,1161.27,1147.55,1161.12,18247719,1552371305056,799226238166800,,,,,,,
2023-01-20,1162.53,1171.64,1159.23,1171.09,15654584,1455820389700,806820057609400,,72.77042092897366,,,,,
2023-01-25,1194.67,1205.15,1192.82,1201.48,25428359,2350913317505,828505743679300,,80.37331791275524,,,,,
2023-01-26,1208.87,1239.15,1197.58,1238.33,25420891,2694908920100,848092320532200,,85.61737853970277,,,,,
2023-01-27,1244.03,1255.09,1233.52,1245.65,31001435,2940751795351,852361576006500,,86.39501591615988,,,,,
2023-01-30,1249.83,1255.27,1228.69,1233.2,32195327,3550169229420,842239656540200,,78.60999475917124,,,,,
2023-01-31,1230.3,1235.36,1214.0,1214.58,42606195,3880515877276,826082159598200,1167.865,68.64704452501246,1079.4801903322746,1167.865,1256.2498096677255,15.136134684698224,0.764270524401312
2023-02-01,1229.53,1241.67,1224.9,1238.45,28542751,2763151484165,838835652164800,1175.077,73.31598919445113,1088.3864039471407,1175.077,1261.7675960528593,14.754879221167513,0.8655125404914656
2023-02-02,1261.39,1262.68,1246.27,1254.5,35240567,3167604264837,854529987839200,1183.1545,75.91330498734048,1098.4969003470449,1183.1545,1267.8120996529553,14.310489399813,0.9213768184573691
2023-02-03,1255.23,1273.32,1251.95,1271.0,29948884,3021844308617,859964347763300,1191.074,78.25644280923814,1104.6789982001271,1191.074,1277.469001799873,14.507075429381038,0.96256148119044
2023-02-06,1260.01,1265.42,1242.23,1242.23,24618097,2308979390807,836990208850200,1197.6495,66.16943863869813,1116.8832834301988,1197.6495,1278.4157165698011,13.487454646756191,0.7759848231931968
