날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2019-01-02,289.42,290.58,279.1,279.73,6578910,153892932830,30773343950725,,,,,,,
2019-01-03,281.56,283.78,277.24,280.11,6264518,160955204345,30766093701655,,,,,,,
2019-01-04,279.88,281.27,274.55,280.53,5216030,130154607840,30746720994770,,,,,,,
2019-01-07,285.7,289.14,281.24,284.9,5921168,158816956750,31197845517210,,,,,,,
2019-01-08,287.14,289.08,281.81,283.29,5538323,141990599275,31097158228450,,,,,,,
2019-01-09,285.27,289.05,284.89,288.98,5563635,135305420890,31645401380830,,,,,,,
2019-01-10,289.93,290.89,284.97,286.87,4746506,147209644790,31421099143480,,,,,,,
2019-01-11,287.38,287.83,285.17,286.56,5305952,136902663915,31414343845025,,,,,,,
2019-01-14,286.27,288.99,284.75,287.82,6116674,156833042710,31626327472950,,,,,,,
2019-01-15,287.42,290.97,287.01,289.59,4986961,126714770610,31769872466855,,,,,,,
2019-01-16,290.77,295.72,290.58,293.47,6528684,148387262560,32224060515920,,,,,,,
2019-01-17,294.55,296.2,288.8,289.75,5949351,133275787590,31770890260465,,,,,,,
2019-01-18,291.46,291.86,287.95,291.12,5828793,121522114085,31989102439125,,,,,,,
2019-01-21,293.21,293.48,288.84,289.01,4535994,101931417205,31800969880540,,,,,,,
2019-01-22,289.32,291.23,287.15,289.11,5126899,117355625980,31862121208815,,61.70176746094906,,,,,
2019-01-23,288.39,294.33,288.14,294.33,6763209,131329875020,32464501382690,,70.65559679085125,,,,,
2019-01-24,293.29,298.99,292.81,298.87,6638755,140629985220,32939455852865,,75.92704075232191,,,,,
2019-01-25,297.49,301.68,295.93,300.73,5801653,132025210265,33138678865970,,77.69490972084125,,,,,
2019-01-28,301.16,302.42,298.09,299.14,5408407,123184250075,32918737624910,,72.77484575404965,,,,,
2019-01-29,298.35,299.71,293.11,294.66,9380457,187053956030,32458512085915,289.4285,61.04496482354463,277.44515276310494,289.4285,301.411847236895,8.280696086871226,0.7182820833186317
2019-01-30,297.54,302.71,296.97,302.71,22140833,298501176710,33290419619695,290.5775,70.30639060970071,278.136146576839,290.5775,303.018853423161,8.5631911783679,0.9875876276215242
2019-01-31,305.87,305.87,299.34,302.33,8868163,169959413300,33251906738350,291.6885,69.46680693262728,279.2161092508292,291.6885,304.16089074917073,8.551856346184891,0.9266022534896736
2019-02-01,302.19,303.49,298.97,302.0,15321763,287031253040,33376254386110,292.762,68.69955474945782,280.6247060676607,292.762,304.8992939323393,8.291577412600867,0.8805625888067917
2019-02-07,305.12,305.55,299.38,301.5,11147532,210518025365,33409023526740,293.592,67.48337343019024,281.44841634442287,293.592,305.7355836555771,8.272421357242104,0.8256040483720039
2019-02-08,299.63,300.14,296.86,298.36,6024159,129815939900,33055847042150,294.3455,60.2677522105326,283.0090058770359,294.3455,305.6819941229641,7.702848606799898,0.6770609130325358
2019-02-11,300.24,301.28,298.01,298.21,5271058,111654758315,33020855256335,294.807,59.938046989192905,283.6314318265245,294.807,305.98256817347556,7.581616565058184,0.6522517668531947
2019-02-12,299.07,300.13,296.71,298.14,6235997,138266997945,32996179304640,295.3705,59.77370729000565,284.72879999483166,295.3705,306.0122000051683,7.205662044901797,0.6301248859982398
2019-02-13,299.83,301.62,297.82,298.2,6116890,138062252598,33042368337185,295.9525,59.87525965189637,286.05466614607013,295.9525,305.85033385392984,6.688798948432504,0.6135349427545529
2019-02-14,298.02,298.6,292.22,298.26,6296632,163663426120,33066465814390,296.4745,59.98405186563754,287.2704476859375,296.4745,305.6785523140625,6.20900098596169,0.596995320054408
2019-02-15,297.12,299.54,295.47,297.38,4704306,105193967820,32972424928440,296.864,57.52070328688582,288.2157368217659,296.864,305.51226317823404,5.8264142356325195,0.5298325796385734
2019-02-18,299.21,299.25,295.87,298.04,5915822,119517729615,33090069640095,297.0925,58.8844755517606,288.5744981803242,297.0925,305.61050181967573,5.7342422442005505,0.5556175039673867
2019-02-19,298.79,299.93,297.58,297.64,5259906,112025318260,33036951985140,297.48699999999997,57.67593856680711,289.66323338793904,297.48699999999997,305.3107666120609,5.2599048779011675,0.509777899034217
2019-02-20,299.62,299.84,296.17,297.93,5883385,135803981360,33099962386090,297.8275,58.343459703341715,290.56946479755027,297.8275,305.0855352024497,4.873985916310428,0.5070611396294568
2019-02-21,298.1,298.78,293.48,295.71,7443080,171415158625,32831204716000,298.16249999999997,51.63036818657532,292.03246941280065,298.16249999999997,304.2925305871993,4.1118722758222885,0.2999602151152982
2019-02-22,295.43,299.64,295.24,298.14,4852902,114352515900,33105618607745,298.614,57.40737381048599,294.100418716806,298.614,303.12758128319393,3.0230205437079025,0.44749180636616653
2019-02-25,300.52,300.52,295.29,296.59,6625933,156642882250,32891861095825,298.727,53.0546272194031,294.5472722576705,298.727,302.90672774232945,2.798359533841585,0.24436133981193325
2019-02-26,297.39,299.76,296.83,297.86,12335395,239143061295,33004745198600,298.6765,55.99850542623312,294.48052919457257,298.6765,302.8724708054274,2.8097093714620387,0.40270428014610643
2019-02-27,298.81,298.94,293.59,295.34,8180659,179074200810,32805812368565,298.407,49.381347679640015,294.0827978770646,298.407,302.7312021229354,2.898190808483306,0.1453681034319874
